aid,aidtype,aidname,aiddesc,aidsrcid,aidsrcname,aidextid,aidmdate,cids,sids,geneids,aidcategories,protacxns,depcatg,pmids,rnai,ecs,repacxns,taxids,cellids,targettaxid,annotation
   31732,Confirmatory,Inhibitory activity against AMPA receptor using [3H]AMPA as radioligand,"Title: (3SR,4aRS,6RS,8aRS)-6-[2-(1H-tetrazol-5-yl)ethyl]decahydroisoquinoline-3 - carboxylic acid: a structurally novel, systemically active, competitive AMPA receptor antagonist.",43,ChEMBL,CHEMBL644193,20181013,127894|44304811,103177343|103254969,2890|2891|2892|2893,NULL,P42261|P42262|P42263|P48058,Curation Efforts|Research and Development,8393116,0,NULL,P42261|P42262|P42263|P48058,NULL,NULL,,NULL
31734,Confirmatory,Displacement of [3H]AMPA from AMPA receptor,Displacement of [3H]AMPA from AMPA receptor,43,ChEMBL,CHEMBL644195,20180909,3272524|5486548|9985663|10051732|10247474|10437436|21710164|21710166|22097086|22097088|22097105|22097119|22097148|22097151|22097158|22097165|22097178|22097186|22097194|22097211|22100063|22100072|22100104|22100119|22100133|22100152|22100157|44268202|44268209|44268224|44268242|44268310|44268318|44268353|44268357|44268369,103173748|103173782|103173783|103173843|103173875|103173876|103173915|103173948|103173957|103173973|103173981|103173990|103174011|103174018|103174023|103174051|103174105|103174115|103174134|103174139|103174147|103174174|103174196|103174204|103174210|103174221|103174224|103174237|103174242|103174249|103174265|103174351|103174361|103174388|103174395|103509729,2890|2891|2892|2893,NULL,P42261|P42262|P42263|P48058,Curation Efforts|Research and Development,NULL,0,NULL,P42261|P42262|P42263|P48058,NULL,NULL,,NULL
75670,Confirmatory,Inhibition of the (-80 mV) current elicited by 100 uM glutamate by simultaneous co-application in xenopus oocytes injected with GluR1 flop RNA.,"Title: Solid-phase synthesis of polyamine toxin analogues: potent and selective antagonists of Ca2+-permeable AMPA receptors._||_Abstract: The wasp toxin philanthotoxin-433 (PhTX-433) is a nonselective and noncompetitive antagonist of ionotropic receptors, such as ionotropic glutamate receptors and nicotinic acetylcholine receptors. Polyamine toxins are extensively used for the characterization of subtypes of ionotropic glutamate receptors, in particular Ca(2+)-permeable AMPA and kainate receptors. We have previously shown that an analogue of PhTX-433 with one of the amino groups replaced by a methylene group, philanthotoxin-83 (PhTX-83) is a selective and potent antagonist of AMPA receptors. We now describe the solid-phase synthesis of analogues of PhTX-83 and the electrophysiological characterization of these analogues on cloned AMPA and kainate receptors. The polyamine portion of PhTX-83 was modified systematically by changing the position of the secondary amino group along the polyamine chain. In another series of analogues, the acyl moiety of PhTX-83 was replaced by acids of different size and lipophilicity. Using electrophysiological techniques, PhTX-56 was shown to be a highly potent (K(i) = 3.3 +/- 0.78 nM) and voltage-dependent antagonist of homomeric GluR1 receptors and was more than 1000-fold less potent when tested on heteromeric GluR1+GluR2, as well as homomeric GluR5(Q) receptors, thus being selective for Ca(2+)-permeable AMPA receptors. Variation of the acyl group of PhTX-83 had only minor effect on antagonist potency at homomeric GluR1 receptors but led to a significant decrease in the voltage-dependence. In conclusion, PhTX-56 is a novel, very potent, and selective antagonist of Ca(2+)-permeable AMPA receptors and is a promising tool for structure/function studies of the ion channel of the AMPA receptor.",43,ChEMBL,CHEMBL680870,20181017,10598970|14608128|44368884|44368885|44368886|44368895|44368910|44369047|44369048|44369061|44369062|44369077|44369235|44369248|44369251|44369283|44369293|44369295|44369306|44369308,103242301|103395119|103401345|103401346|103401347|103401358|103401386|103401656|103401657|103401689|103401691|103401729|103402004|103402031|103402035|103402084|103402111|103402115|103402135|103402137,2890,NULL,P42261,Curation Efforts|Research and Development,12477358,0,NULL,P42261,NULL,129148,,NULL
92044,Confirmatory,Inhibition of Ionotropic glutamate receptor AMPA binding to human hippocampal homogenates,"Title: 6-(4-pyridinyl)-1H-1,2,3-triazolo[4,5-d]-pyrimidin-4(5H)-one: a structurally novel competitive AMPA receptor antagonist.",43,ChEMBL,CHEMBL699726,20181015,135407136|135453826,103402848|103402881,2890|2891|2892|2893,NULL,P42261|P42262|P42263|P48058,Curation Efforts|Research and Development,7532226,0,NULL,P42261|P42262|P42263|P48058,NULL,NULL,,NULL
92046,Literature-derived,Inhibition of Ionotropic glutamate receptor AMPA binding to human hippocampal homogenates at concentration of 5-7 uM,"Title: 6-(4-pyridinyl)-1H-1,2,3-triazolo[4,5-d]-pyrimidin-4(5H)-one: a structurally novel competitive AMPA receptor antagonist.",43,ChEMBL,CHEMBL699886,20181015,10013401|10262625|135400945|135456970|135474269,103402800|103402827|103402880|103402892|103403227,2890|2891|2892|2893,NULL,P42261|P42262|P42263|P48058,Curation Efforts|Research and Development,7532226,0,NULL,P42261|P42262|P42263|P48058,NULL,NULL,,NULL
92800,Confirmatory,Compound was evaluated to potentiate response of AMPA-activated current in Xenopus oocytes expressing Ionotropic glutamate receptor AMPA,Compound was evaluated to potentiate response of AMPA-activated current in Xenopus oocytes expressing Ionotropic glutamate receptor AMPA,43,ChEMBL,CHEMBL702515,20180908,637863,103319767,2890|2891|2892|2893,NULL,P42261|P42262|P42263|P48058,Curation Efforts|Research and Development,NULL,0,NULL,P42261|P42262|P42263|P48058,NULL,129148,,NULL
92802,Confirmatory,Compound has been evaluated for its binding affinity towards Ionotropic glutamate receptor AMPA by displacing the radioligand [3H]AMPA,"Title: Synthesis, radiolabelling and biological characterization of (D)-7-iodo-N-(1-phosphonoethyl)-5-aminomethylquinoxaline-2,3-dione, a glycine-binding site antagonist of NMDA receptors._||_Abstract: (D)-7-Iodo-N-(1-phosphonoethyl)-5-aminomethylquinoxaline-2,3 -dione (I-PAMQX), is a potent, in vivo active antagonist acting at the glycine binding site of the NMDA receptor complex. Radioiodinated [131I]I-PAMQX was prepared with good yields and high specific activity from its 7-bromo analogue. Biodistribution studies of [131I]I-PAMQX in mice showed a relatively slow clearance from the blood. The uptake of radioactivity was highest in the kidneys, moderate in the heart, lung, liver and bones, and low in the brain.",43,ChEMBL,CHEMBL702517,20180909,6604872|10048025,103290029|103419432,2890|2891|2892|2893,NULL,P42261|P42262|P42263|P48058,Curation Efforts|Research and Development,10636248,0,NULL,P42261|P42262|P42263|P48058,NULL,NULL,,NULL
92804,Literature-derived,Compound was evaluated for its binding affinity towards Ionotropic glutamate receptor AMPA in presence of [3H]- AMPA; NT means not tested,Compound was evaluated for its binding affinity towards Ionotropic glutamate receptor AMPA in presence of [3H]- AMPA; NT means not tested,43,ChEMBL,CHEMBL702519,20180908,44377497,103417755,2890|2891|2892|2893,NULL,P42261|P42262|P42263|P48058,Curation Efforts|Research and Development,NULL,0,NULL,P42261|P42262|P42263|P48058,NULL,NULL,,NULL
92806,Confirmatory,In vitro binding affinity against Ionotropic glutamate receptor AMPA using [3H]AMPA as radioligand,"Title: Heteroaryl analogues of AMPA. Synthesis and quantitative structure-activity relationships._||_Abstract: A number of 3-isoxazolol bioisosteres, 7a-i, of (S)-glutamic acid (Glu), in which the methyl group of (RS)-2-amino-3-(3-hydroxy-5-methylisoxazol-4-yl)propionic acid (AMPA, 1) was replaced by different 5-membered heterocyclic rings, were synthesized. Comparative in vitro pharmacological studies on this series of AMPA analogues were performed using receptor binding assays (IC50 values) and the electrophysiological rat cortical slice model (EC50 values). None of these compounds showed detectable affinity for the N-methyl-D-aspartic acid subtype of Glu receptors. Some of the compounds were weak inhibitors of [3H]kainic acid binding. The inhibitory effects on [3H]AMPA binding and agonist potencies at AMPA receptors of 7a-i were strictly dependent on the structure, electrostatic potential, and methyl substitution of the heterocyclic 5-substituent. Thus, while 7a (IC50 = 0.094 microM; EC50 = 2.3 microM) was approximately equipotent with AMPA (IC50 = 0.023 microM; EC50 = 5.4 microM), (RS)-2-amino-3-[3-hydroxy-5-(1H-imidazol-2-yl)isoxazol-4-yl]propio nic acid (7b) (IC50 = 48 microM; EC50 = 550 microM) was some 2 orders of magnitude weaker than AMPA, and (RS)-2-amino-3-[3-hydroxy-5-(1-methyl-1H-imidazol-2-yl)-isoxazol-4 -yl] propionic acid (7c) (IC50 > 100 microM; EC50 > 1000 microM) was inactive. Furthermore, (RS)-2-amino-3-[3-hydroxy-5-(2-methyl-2H-tetrazol-5-yl)isoxazol -4-yl] propionic acid (7i) (IC50 = 0.030 microM; EC50 = 0.92 microM) was more potent than AMPA, whereas its N-1 methyl isomer, (RS)-2-amino-3-[3-hydroxy-5-(1-methyl-1H-tetrazol-5-yl)isoxazol -4-yl] propionic acid (7h) (IC50 = 54 microM; EC50 > 1000 microM) was inactive as an AMPA agonist. A quantitative structure-activity relationship (QSAR) analysis revealed a positive correlation between receptor affinity, electrostatic potential near the nitrogen atom at the 'ortho' position of the heterocyclic 5-substituent, and the rotational energy barrier around the bond connecting the two rings. We envisage that a hydrogen bond between the protonated amino group and an ortho-positioned heteroatom of the ring substituent at the 5-position stabilize receptor-active conformations of these AMPA analogues.",43,ChEMBL,CHEMBL702521,20181015,1221|3481675|10562939|10610792|10658567|10729534|10752476|10800053|10823814|10824747,103174429|103289365|103309919|103309920|103310042|103310043|103310045|103310166|103310208|103310209,2890|2891|2892|2893,In vitro,P42261|P42262|P42263|P48058,Curation Efforts|Research and Development,9288165,0,NULL,P42261|P42262|P42263|P48058,NULL,NULL,,NULL
92930,Confirmatory,Inhibition of the binding of radioligand [3H]AMPA in the presence at low-affinity AMPA receptor sites.,"Title: Novel class of amino acid antagonists at non-N-methyl-D-aspartic acid excitatory amino acid receptors. Synthesis, in vitro and in vivo pharmacology, and neuroprotection._||_Abstract: The isoxazole amino acid 2-amino-3-(3-hydroxy-5-methylisoxazol-4-yl) propionic acid (AMPA) (1), which is a highly selective agonist at the AMPA subtype of excitatory amino acid (EAA) receptors, has been used as a lead for the development of two novel EAA receptor antagonists. One of the compounds, 2-amino-3-[3-(carboxymethoxy)-5-methylisoxazol-4-yl]propionic acid (AMOA, 7), was synthesized via O-alkylation by ethyl chloroacetate of the amino acid protected AMPA derivative 4. The other compound, 2-amino-3-[2-(3-hydroxy-5-methylisoxazol-4-yl)-methyl-5-methyl-3-+ ++oxoisoxazolin -4-yl]propionic acid (AMNH, 14) was synthesized with use of 4-(chloromethyl)-3-methoxy-5-methylisoxazole (8) as the starting material. The intermediate 4-(chloromethyl)-2-(3-methoxy-5-methylisoxazol-4-yl)methyl-5-me thylisoxazolin- 3-one (11) was converted into the acetamidomalonate (12), which was stepwise deprotected to give 14. Compounds 7 and 14 were stable in aqueous solution at pH values close to physiological pH. Neither 7 nor 14 showed detectable affinities for the receptor, ion channel, or modulatory sites of the N-methyl-D-aspartic acid (NMDA) receptor complex. Quantitative receptor autoradiographic and conventional binding techniques were used to study the affinities of 7 and 14 for non-NMDA receptor sites. Both compounds were inhibitors of the binding of [3H]AMPA (IC50 = 90 and 29 microM, respectively). Compounds 14 and 7 were both very weak inhibitors of the high-affinity binding of radioactive kainic acid [( 3H]KAIN). Compound 14, but not 7, was, however, shown to be an inhibitor of low-affinity [3H]KAIN binding (IC50 = 40 microM) as determined in the presence of 100 mM calcium chloride. In the rat cortical slice preparation, 7 was shown to antagonize excitation induced by 1 with some selectivity, whereas 14 proved to be a rather selective antagonist of KAIN-induced excitation. Both antagonists showed very weak effects on the excitatory effects of NMDA. Compound 7 was a poor antagonist of excitation by quisqualic acid (2), whereas 14 did not affect excitation by this nonselective AMPA receptor agonist. On cat spinal neurones, both 7 and 14 reduced excitations by 1 and KAIN, but, again, the excitatory effects of 2 were much less sensitive. Compound 14 and, in particular, 7 effectively protected rat striatal neurones against the neurotoxic effects of KAIN, whereas the toxic effects of 1 were reduced only by 7. Neither antagonist showed protection against the cell damage caused by intrastriatal injection of the NMDA agonist quinolinic acid.(ABSTRACT TRUNCATED AT 400 WORDS)",43,ChEMBL,CHEMBL700573,20181013,1221|125406|125407,103174429|103223955|103759912,2890|2891|2892|2893,NULL,P42261|P42262|P42263|P48058,Curation Efforts|Research and Development,1825114,0,NULL,P42261|P42262|P42263|P48058,NULL,NULL,,NULL
