aid,aidtype,aidname,aiddesc,aidsrcid,aidsrcname,aidextid,aidmdate,cids,sids,geneids,aidcategories,protacxns,depcatg,pmids,rnai,ecs,repacxns,taxids,cellids,targettaxid,annotation
   143099,Confirmatory,Inhibitory activity against NMDA receptor using [3H]-CGS- 19755 as radioligand,"Title: (3SR,4aRS,6RS,8aRS)-6-[2-(1H-tetrazol-5-yl)ethyl]decahydroisoquinoline-3 - carboxylic acid: a structurally novel, systemically active, competitive AMPA receptor antagonist.",43,ChEMBL,CHEMBL748063,20181013,127894|44304811,103177343|103254969,2902|2903|2904|2905|2906|116443|116444,NULL,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,Curation Efforts|Research and Development,8393116,0,NULL,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,NULL,NULL,,NULL
143100,Confirmatory,Inhibitory activity against NMDA receptor using [3H]-CGS- 19755 as radioligand at a dose upto 100 uM,"Title: (3SR,4aRS,6RS,8aRS)-6-[2-(1H-tetrazol-5-yl)ethyl]decahydroisoquinoline-3 - carboxylic acid: a structurally novel, systemically active, competitive AMPA receptor antagonist.",43,ChEMBL,CHEMBL748064,20181013,44304811,103254969,2902|2903|2904|2905|2906|116443|116444,NULL,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,Curation Efforts|Research and Development,8393116,0,NULL,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,NULL,NULL,,NULL
143102,Confirmatory,Tested for the affinity to the glycine site -NMDA receptor using [3H]Gly as radioligand.,Tested for the affinity to the glycine site -NMDA receptor using [3H]Gly as radioligand.,43,ChEMBL,CHEMBL749508,20180908,1779|3018579|3272524|3899541|44348419|44379376,103235715|103353271|103365688|103402891|103422068|103509729,2902|2903|2904|2905|2906|116443|116444,NULL,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,Curation Efforts|Research and Development,NULL,0,NULL,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,NULL,NULL,,NULL
143214,Confirmatory,Tested for the inhibitory activity by the inhibition of excitatory L-[3H]Glutamate binding to NMDA recognition sites,Tested for the inhibitory activity by the inhibition of excitatory L-[3H]Glutamate binding to NMDA recognition sites,43,ChEMBL,CHEMBL748198,20180908,108099|3072821|5950212|6603754|9838551|44338473|44338533,103200249|103228682|103330122|103330231|103330232|103330258|103330327,2902|2903|2904|2905|2906|116443|116444,NULL,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,Curation Efforts|Research and Development,NULL,0,NULL,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,NULL,NULL,,NULL
143215,Confirmatory,"Tested for the inhibitory activity by the inhibition of excitatory [3H]CGS-19,755 binding to NMDA recognition sites","Tested for the inhibitory activity by the inhibition of excitatory [3H]CGS-19,755 binding to NMDA recognition sites",43,ChEMBL,CHEMBL748786,20180908,108099|3072821|5950212|6603754|9838551|44338473|44338533,103200249|103228682|103330122|103330231|103330232|103330258|103330327,2902|2903|2904|2905|2906|116443|116444,NULL,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,Curation Efforts|Research and Development,NULL,0,NULL,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,NULL,NULL,,NULL
143216,Confirmatory,"Tested in vitro for the affinity against NMDA receptor by examining its ability to inhibit [3H]-CGS-19,755 binding","Tested in vitro for the affinity against NMDA receptor by examining its ability to inhibit [3H]-CGS-19,755 binding",43,ChEMBL,CHEMBL748787,20180908,1228|68736|135342|1617430|3035974|3246533|14877965|14877967|44362569|44362599|44362600|44362879|44362880|44362916|45262359|45262360|45265283,103191294|103213975|103264645|103385932|103385985|103385986|103386393|103386493|103386500|103386526|103386527|103386615|103432753|103673948|103673950|103678447|131271776,2902|2903|2904|2905|2906|116443|116444,In vitro,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,Curation Efforts|Research and Development,NULL,0,NULL,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,NULL,NULL,,NULL
143217,Confirmatory,Tested in vitro for the affinity against NMDA receptor in a cortical wedge assay,Tested in vitro for the affinity against NMDA receptor in a cortical wedge assay,43,ChEMBL,CHEMBL748788,20180908,1228|68736|135342|1617430|3035974|3246533|14877965|14877967|44362599|44362600|44362879|44362880|45262360,103191294|103213975|103264645|103385985|103385986|103386393|103386493|103386500|103386526|103386527|103432753|103673950|131271776,2902|2903|2904|2905|2906|116443|116444,In vitro,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,Curation Efforts|Research and Development,NULL,0,NULL,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,NULL,NULL,,NULL
143218,Literature-derived,Tested in vitro for the affinity against NMDA receptor in a cortical wedge assay; A- Compound acted as agonist,Tested in vitro for the affinity against NMDA receptor in a cortical wedge assay; A- Compound acted as agonist,43,ChEMBL,CHEMBL748789,20180908,44362569,103385932,2902|2903|2904|2905|2906|116443|116444,In vitro,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,Curation Efforts|Research and Development,NULL,0,NULL,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,NULL,NULL,,NULL
143219,Literature-derived,Tested in vitro for the affinity against NMDA receptor in a cortical wedge assay; A- compound acts as antagonist,Tested in vitro for the affinity against NMDA receptor in a cortical wedge assay; A- compound acts as antagonist,43,ChEMBL,CHEMBL748790,20180908,45262359|45265283,103673948|103678447,2902|2903|2904|2905|2906|116443|116444,In vitro,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,Curation Efforts|Research and Development,NULL,0,NULL,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,NULL,NULL,,NULL
143220,Confirmatory,Compound was evaluated for in vitro inhibition of cortical neurone at NMDA receptor.,Title: The glycine site on the NMDA receptor: structure-activity relationships and therapeutic potential.,43,ChEMBL,CHEMBL750512,20181014,5486198,103221245,2902|2903|2904|2905|2906|116443|116444,In vitro,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,Curation Efforts|Research and Development,7990104,0,NULL,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,NULL,NULL,,NULL
