aid,aidtype,aidname,aiddesc,aidsrcid,aidsrcname,aidextid,aidmdate,cids,sids,geneids,aidcategories,protacxns,depcatg,pmids,rnai,ecs,repacxns,taxids,cellids,targettaxid,annotation
   56281,Confirmatory,"Binding affinity against Delta opioid receptor in using [35S]GTP-gamma-S, binding assay in guinea pig caudate membranes blocked with 20 nM NTI","Title: (+/-)-4-[(N-allyl-cis-3-methyl-4-piperidinyl)phenylamino]-N,N-diethylbenzamide displays selective binding for the delta opioid receptor._||_Abstract: Racemic 4-[(N-allyl-cis-3-methyl-4-piperidinyl)phenylamino]-N,N-diethylbenzam ide (3a) was synthesized and found to have good affinity and selectivity for the delta receptor. These compounds can be viewed as an analog of BW373U86 and SNC-80 where an internal piperazine nitrogen has been transposed with a benzylic carbon. Functionally, 3a behaves as an agonist at the delta receptor with no measurable stimulation of either the mu or kappa receptor subtypes and was found to be devoid of any measurable amount of antagonist activity for any opioid receptor. A comparison of 3a to SNC-80 and DPDPE in the [35S]GTPgammaS functional assay suggests that 3a may be more like the peptide DPDPE.",43,ChEMBL,CHEMBL666119,20180909,105104|5462471,103177815|103217856,4985,NULL,P41143,Curation Efforts|Research and Development,10571174,0,NULL,P41143,10141,NULL,,NULL
56285,Confirmatory,"[35S]GTP-gamma-S, induced maximal stimulation ( E max ) Delta opioid receptor in guinea pig caudate membranes blocked with 20 nM NTI","Title: Optically pure (-)-4-[(N-allyl-3-methyl-4-piperidinyl)phenyl-amino]-N,N-diethylbenzami de displays selective binding and full agonist activity for the delta opioid receptor._||_Abstract: The optical isomers of 4-[(N-allyl-3-methyl-4-piperidinyl)phenylamino]-N,N-diethylbenzamide+ ++ (3) have been prepared and tested in both binding and functional assays. The data show that (-)-3 is responsible for the delta opioid activity demonstrated by the racemic material. This compound displays a binding affinity of 5.5 nM for the delta opioid receptor as well as a 470-fold delta versus mu selectivity. Importantly, (-)-3 is a full agonist at the delta receptor in comparison with SNC-80 (2). Taken together, the data suggest that (-)-3 behaves more like the prototypical delta agonists, BW373U86 or SNC-80, and less like the peptidomimetic compound SL-3111 (5).",43,ChEMBL,CHEMBL666282,20180909,105104,103177815,4985,NULL,P41143,Curation Efforts|Research and Development,10612597,0,NULL,P41143,10141,NULL,,NULL
56287,Literature-derived,"[35S]GTP-gamma-S, induced maximal stimulation ( E max ) Delta opioid receptor in guinea pig caudate membranes blocked with 20 nM NTI; No stimulation","Title: Optically pure (-)-4-[(N-allyl-3-methyl-4-piperidinyl)phenyl-amino]-N,N-diethylbenzami de displays selective binding and full agonist activity for the delta opioid receptor._||_Abstract: The optical isomers of 4-[(N-allyl-3-methyl-4-piperidinyl)phenylamino]-N,N-diethylbenzamide+ ++ (3) have been prepared and tested in both binding and functional assays. The data show that (-)-3 is responsible for the delta opioid activity demonstrated by the racemic material. This compound displays a binding affinity of 5.5 nM for the delta opioid receptor as well as a 470-fold delta versus mu selectivity. Importantly, (-)-3 is a full agonist at the delta receptor in comparison with SNC-80 (2). Taken together, the data suggest that (-)-3 behaves more like the prototypical delta agonists, BW373U86 or SNC-80, and less like the peptidomimetic compound SL-3111 (5).",43,ChEMBL,CHEMBL666284,20180909,123924,103175041,4985,NULL,P41143,Curation Efforts|Research and Development,10612597,0,NULL,P41143,10141,NULL,,NULL
56289,Confirmatory,"[35S]GTP-gamma-S, induced maximal stimulation ( E max ) Delta opioid receptor in guinea pig caudate membranes blocked with 20 nM NTI","Title: Optically pure (-)-4-[(N-allyl-3-methyl-4-piperidinyl)phenyl-amino]-N,N-diethylbenzami de displays selective binding and full agonist activity for the delta opioid receptor._||_Abstract: The optical isomers of 4-[(N-allyl-3-methyl-4-piperidinyl)phenylamino]-N,N-diethylbenzamide+ ++ (3) have been prepared and tested in both binding and functional assays. The data show that (-)-3 is responsible for the delta opioid activity demonstrated by the racemic material. This compound displays a binding affinity of 5.5 nM for the delta opioid receptor as well as a 470-fold delta versus mu selectivity. Importantly, (-)-3 is a full agonist at the delta receptor in comparison with SNC-80 (2). Taken together, the data suggest that (-)-3 behaves more like the prototypical delta agonists, BW373U86 or SNC-80, and less like the peptidomimetic compound SL-3111 (5).",43,ChEMBL,CHEMBL666286,20180909,5462471,103217856,4985,NULL,P41143,Curation Efforts|Research and Development,10612597,0,NULL,P41143,10141,NULL,,NULL
56291,Confirmatory,Binding to delta opioid receptor by using [3H]DPDPE as radioligand in guinea pig brain minus cerebellum,Binding to delta opioid receptor by using [3H]DPDPE as radioligand in guinea pig brain minus cerebellum,43,ChEMBL,CHEMBL666288,20180908,5288826|44318784|44319002,103169185|103289462|103289946,4985,NULL,P41143,Curation Efforts|Research and Development,NULL,0,NULL,P41143,10141,NULL,,NULL
56293,Literature-derived,Binding to delta opioid receptor by using [3H]DPDPE as radioligand in guinea pig brain minus cerebellum at 10 uM,Binding to delta opioid receptor by using [3H]DPDPE as radioligand in guinea pig brain minus cerebellum at 10 uM,43,ChEMBL,CHEMBL666290,20180908,15677950|15677952|15677953|44318771|44318982|44319000|44319001,103289427|103289430|103289882|103289883|103289912|103289943|103289944,4985,NULL,P41143,Curation Efforts|Research and Development,NULL,0,NULL,P41143,10141,NULL,,NULL
56295,Confirmatory,"Binding affinity against Delta opioid receptor in using [35S]GTP-gamma-S, binding assay in guinea pig caudate membranes blocked with 20 nM NTI","Title: Optically pure (-)-4-[(N-allyl-3-methyl-4-piperidinyl)phenyl-amino]-N,N-diethylbenzami de displays selective binding and full agonist activity for the delta opioid receptor._||_Abstract: The optical isomers of 4-[(N-allyl-3-methyl-4-piperidinyl)phenylamino]-N,N-diethylbenzamide+ ++ (3) have been prepared and tested in both binding and functional assays. The data show that (-)-3 is responsible for the delta opioid activity demonstrated by the racemic material. This compound displays a binding affinity of 5.5 nM for the delta opioid receptor as well as a 470-fold delta versus mu selectivity. Importantly, (-)-3 is a full agonist at the delta receptor in comparison with SNC-80 (2). Taken together, the data suggest that (-)-3 behaves more like the prototypical delta agonists, BW373U86 or SNC-80, and less like the peptidomimetic compound SL-3111 (5).",43,ChEMBL,CHEMBL666292,20180909,105104|5462471,103177815|103217856,4985,NULL,P41143,Curation Efforts|Research and Development,10612597,0,NULL,P41143,10141,NULL,,NULL
56297,Literature-derived,"Binding affinity against Delta opioid receptor in using [35S]GTP-gamma-S, binding assay in guinea pig caudate membranes blocked with 20 nM NTI; No stimulation","Title: Optically pure (-)-4-[(N-allyl-3-methyl-4-piperidinyl)phenyl-amino]-N,N-diethylbenzami de displays selective binding and full agonist activity for the delta opioid receptor._||_Abstract: The optical isomers of 4-[(N-allyl-3-methyl-4-piperidinyl)phenylamino]-N,N-diethylbenzamide+ ++ (3) have been prepared and tested in both binding and functional assays. The data show that (-)-3 is responsible for the delta opioid activity demonstrated by the racemic material. This compound displays a binding affinity of 5.5 nM for the delta opioid receptor as well as a 470-fold delta versus mu selectivity. Importantly, (-)-3 is a full agonist at the delta receptor in comparison with SNC-80 (2). Taken together, the data suggest that (-)-3 behaves more like the prototypical delta agonists, BW373U86 or SNC-80, and less like the peptidomimetic compound SL-3111 (5).",43,ChEMBL,CHEMBL666294,20180909,22475272,103337390,4985,NULL,P41143,Curation Efforts|Research and Development,10612597,0,NULL,P41143,10141,NULL,,NULL
56299,Confirmatory,Agonistic activity against human opioid Delta receptor transfected into Chinese hamster ovary (CHO) cells using [3H]Cl-DPDPE as radioligand,"Title: Synthesis and opiate receptor binding properties of 17-methyl-6,7-dehydro-3,14-dihydroxy-4,5alpha-epoxy-6,7:4',5'-pyrimidin omorphinans._||_Abstract: A class of opioid receptor active derivatives of oxymorphone has been synthesized using a common enaminone intermediate. The derivatives have heterocyclic groups fused to the 6,7-positions of the morphinan system and all were synthesized in high yield. A pyrazolo derivative is an agonist for the mu and delta receptors and an antagonist for the kappa receptor.",43,ChEMBL,CHEMBL666296,20180909,9949205|10315939|10387038|44341722|44341920,103337763|103337796|103337800|103338245|103338276,4985,NULL,P41143,Curation Efforts|Research and Development,10612602,0,NULL,P41143,NULL,197,,NULL
56301,Literature-derived,Agonistic activity against human opioid Delta receptor transfected into Chinese hamster ovary (CHO) cells using [3H]Cl-DPDPE as radioligand,"Title: Synthesis and opiate receptor binding properties of 17-methyl-6,7-dehydro-3,14-dihydroxy-4,5alpha-epoxy-6,7:4',5'-pyrimidin omorphinans._||_Abstract: A class of opioid receptor active derivatives of oxymorphone has been synthesized using a common enaminone intermediate. The derivatives have heterocyclic groups fused to the 6,7-positions of the morphinan system and all were synthesized in high yield. A pyrazolo derivative is an agonist for the mu and delta receptors and an antagonist for the kappa receptor.",43,ChEMBL,CHEMBL666298,20180909,9949205|10315939|10387038|44341722,103337763|103337796|103337800|103338276,4985,NULL,P41143,Curation Efforts|Research and Development,10612602,0,NULL,P41143,NULL,197,,NULL
