,aid,aidtype,aidname,aiddesc,aidsrcid,aidsrcname,aidextid,aidmdate,cids,sids,geneids,aidcategories,protacxns,depcatg,pmids,rnai,ecs,repacxns,taxids,cellids,targettaxid,annotation,partial_agonist_desc,partial_agonist_aidname,agonist_desc,agonist_aidname,antagonist_desc,antagonist_aidname
0,45420,Confirmatory,Displacement of [3H]-spiperone from CHO-K1 cell membranes expressing human dopamine 3 receptors,"Title: Evaluation of the effects of the enantiomers of reduced haloperidol, azaperol, and related 4-amino-1-arylbutanols on dopamine and sigma receptors._||_Abstract: The enantiomers of reduced haloperidol (3a), azaperol (3b), and the related compound BMY-14802 (3c) were prepared in high optical purity. The affinity of these compounds for dopamine D2 and D3 receptors, and sigma S1 and S2 sites was determined in vitro. Both enantiomers of 3a display greatly decreased affinity for D2 and D3 receptors compared to haloperidol, although they still possess affinities in the 100-200-nM range. Both enantiomers of 3a possess potent and equal affinity for S1 sites (Ki: 1-2 nM), only slightly weaker than haloperidol (Ki: 0.33 nM). At S2 sites, (R)-(+)-3a displays similar affinity to haloperidol (Ki: 31 and 26 nM, respectively), while (S)-(-)-3a is slight more potent (Ki: 8.2 nM). The stereoselectivity profile of the enantiomers of 3b at D2 and D3 receptors is quite similar to that of 3a, (S)-(-)-3b being about 4 times more potent than its enantiomer at both receptors. (R)-(+)-3b binds preferentially to sigma S1 over S2 sites, while (S)-(-)-3b displays the opposite selectivity profile. Both enantiomers of 3c possess very weak affinity for D2 and D3 receptors. In a manner similar to the enantiomers of 3b, the affinity of (R)-(+)-3c is greater for S1 than S2 sites, while (S)-(-)-3c displays the opposite selectivity profile. Following parenteral administration of both enantiomers of 3a, dopamine synthesis and turnover in rat striatum, cortex, and mesolimbic areas were increased, in a manner similar to the effects produced by haloperidol itself. Additional studies will be required to assess with certainty whether the effects were due to the compounds themselves or simply were a consequence of the in vivo oxidation to haloperidol.",43,ChEMBL,CHEMBL651365,20181014,3559|15443|6604868|10020651|16048564|24867245|44350942|44350991,103167216|103359590|103359652|103359654|103359671|103359710|103359798|103359799,1814,,P35462,Curation Efforts|Research and Development,7902870,0,,P35462,9606.0,198.0,,,0,0,0,0,0,0
2,61624,Confirmatory,Ability to displace [3H]spiperone from the cloned human D3 dopamine receptor stably expressed in Chinese hamster ovary (CHO) cells was determined.,"Title: 2,2-Dicyanovinyl as a nonaromatic aryl bioisostere: synthesis, binding experiments and SAR studies of highly selective dopamine D4 receptor ligands._||_Abstract: The phenylpiperazinylmethyl substituted pyrrolylmethylenemalononitriles of type 3 and 4 were synthesized and evaluated as strong and selective dopamine D4 receptor ligands.",43,ChEMBL,CHEMBL669159,20180909,10425969|15467369|15467370|15467371|15467372|15467373|135398737,103165765|103249005|103249006|103249047|103249064|103249125|103249603,1814,,P35462,Curation Efforts|Research and Development,10450964,0,,P35462,,197.0,,,0,0,0,0,0,0
3,61626,Confirmatory,Ability to displace [3H]-spiperone from cloned human dopamine D3 receptor stably expressed in CHO cells,Title: Synthesis and sar of 2- and 3-substituted 7-azaindoles as potential dopamine D4 ligands._||_Abstract: 7-azaindole compounds bearing a cyclic amine moiety linked by a one or two carbon chain attached at the 2- or 3-position were synthesised and evaluated as potential dopamine D4 ligands. Highest affinity and selectivity for the D4 receptor resided in the 3-aminomethyl-7-azaindole series.,43,ChEMBL,CHEMBL669161,20180909,5311200|9905249|10245409|10335148|21462964|21462980|44370009|44370032|44370047|44370058|71458040,103165750|103201483|103403466|103403480|103403518|103403548|103403590|103403623|103403634|163326319|163329705,1814,,P35462,Curation Efforts|Research and Development,10098669,0,,P35462,9606.0,197.0,,,0,0,0,0,0,0
5,61630,Confirmatory,Binding affinity towards human cloned Dopamine D3 receptor in CHO cells by [3H]spiperone displacement.,Binding affinity towards human cloned Dopamine D3 receptor in CHO cells by [3H]spiperone displacement.,43,ChEMBL,CHEMBL666892,20180908,9961911|10009952|10395316|15291583|15291585|15291586|15291587|19938402|19938405|19938408|44319269|44319362|44319418|44319482|44319568|44319569|44319612,103290459|103290460|103290461|103290649|103290774|103290813|103290958|103290959|103291043|103291052|103291072|103291117|103291118|103291119|103291210|103291211|103291257,1814,,P35462,Curation Efforts|Research and Development,,0,,P35462,,197.0,,,0,0,0,0,0,0
6,61632,Confirmatory,Displacement of [3H]spiperone from human dopamine receptor subtype hD3 expressed in CHO cells,Displacement of [3H]spiperone from human dopamine receptor subtype hD3 expressed in CHO cells,43,ChEMBL,CHEMBL666966,20180908,749986|10359942|11725909|22100932|22100933|22100940|22100943|22100957|22100962|22100964|22100965|22100968|22100970,103267062|103267091|103267092|103267382|103267444|103267455|103267823|103267824|103267872|103267873|103267890|103267899|103267918,1814,,P35462,Curation Efforts|Research and Development,,0,,P35462,9606.0,197.0,,,0,0,0,0,0,0
7,61634,Confirmatory,Binding affinity at cloned human D3 dopamine receptor in CHO cells using [3H]-YM 09151 as radioligand,Binding affinity at cloned human D3 dopamine receptor in CHO cells using [3H]-YM 09151 as radioligand,43,ChEMBL,CHEMBL666968,20180908,135887930|135887932|135887933|135887935|135887936|135887937|135887938|135887939|136072266,103279759|103280417|103280450|103280452|103280487|103280979|103281048|103281050|103677593,1814,,P35462,Curation Efforts|Research and Development,,0,,P35462,9606.0,197.0,,,0,0,0,0,0,0
9,61640,Literature-derived,Binding affinity was measured at cloned mammalian dopamine D3 receptor expressed in CHO-K1 cells (using [3H]- spiperone); NT means not tested,Binding affinity was measured at cloned mammalian dopamine D3 receptor expressed in CHO-K1 cells (using [3H]- spiperone); NT means not tested,43,ChEMBL,CHEMBL666974,20180908,44374650,103412659,1814,,P35462,Curation Efforts|Research and Development,,0,,P35462,,198.0,,,0,0,0,0,0,0
11,62292,Literature-derived,In vivo inhibitory activity against dopamine receptor in isolated cat atria; inactive,"Title: 6-Hydroxy-4-[2-(di-n-propylamino)ethyl]indole: synthesis and dopaminergic actions._||_Abstract: The title compound was proposed to be a biologically active metabolite of a dopaminergic agent, 4-[2-(di-n-propylamino)ethyl]indole. This proposed metabolite was synthesized by a multistep sequence beginning with methyl 3,5-dinitro o-toluate, and involving the Batcho-Leimgruber modification of the Reissert indole synthesis. The target compound exhibited high potency/activity in vivo in a cat cardioaccelerator nerve assay and in vitro in an isolated cat atrium assay. It manifested maximal pharmacological effect less than 5 min after intravenous administration in cats, as compared with a 20-min lag time following intravenous administration of the nonoxygenated congener. These pharmacological data are consistent with the proposal that the target compound is a metabolite of 4-[2-(di-n-propylamino)ethyl]indole.",43,ChEMBL,CHEMBL671452,20200628,3086054,103261569,1812|1813|1814|1815|1816,In vivo,P14416|P21728|P21917|P21918|P35462,Curation Efforts|Research and Development,6699883,0,,P14416|P21728|P21917|P21918|P35462,9685.0,,,,0,0,0,0,0,0
13,62572,Confirmatory,Compound was evaluated for the competitive binding with [3H]spiperone binding to Canine striatal membranes.,"Title: Aporphines. 58. N-(2-chloroethyl) [8,9-2H]norapomorphine, an irreversible ligand for dopamine receptors: synthesis and application._||_Abstract: The synthesis of the title compounds (1c and its 2H isomer 1b) from N-(2-hydroxyethyl)norapomorphine was carried out by ring bromination, followed by chlorination to the 2-chloroethyl compound 6. Further reduction with 2H2 or 3H2 and Pd/C gave 1b or 1c. Radiochemically pure (97%) 1c was obtained with a specific activity of 16.3 Ci/mmol. The purity of 1c was determined by LC, HPLC, UV, and NMR. [3H]NCA was shown to label the D2 receptor; however, the D2 signal appears to be only a small portion of the total signal, which may include binding to other dopamine receptor subtypes (D1 and D3).",43,ChEMBL,CHEMBL672962,20200628,156376,103197972,1812|1813|1814|1815|1816,,P14416|P21728|P21917|P21918|P35462,Curation Efforts|Research and Development,6737423,0,,P14416|P21728|P21917|P21918|P35462,9615.0,,,,0,0,0,0,0,0
14,62574,Literature-derived,Compound was evaluated at 100 uM concentration to displace [3H]spiperone and result indicates the percent displacement.,"Title: Aporphines. 58. N-(2-chloroethyl) [8,9-2H]norapomorphine, an irreversible ligand for dopamine receptors: synthesis and application._||_Abstract: The synthesis of the title compounds (1c and its 2H isomer 1b) from N-(2-hydroxyethyl)norapomorphine was carried out by ring bromination, followed by chlorination to the 2-chloroethyl compound 6. Further reduction with 2H2 or 3H2 and Pd/C gave 1b or 1c. Radiochemically pure (97%) 1c was obtained with a specific activity of 16.3 Ci/mmol. The purity of 1c was determined by LC, HPLC, UV, and NMR. [3H]NCA was shown to label the D2 receptor; however, the D2 signal appears to be only a small portion of the total signal, which may include binding to other dopamine receptor subtypes (D1 and D3).",43,ChEMBL,CHEMBL672963,20200628,156376,103197972,1812|1813|1814|1815|1816,,P14416|P21728|P21917|P21918|P35462,Curation Efforts|Research and Development,6737423,0,,P14416|P21728|P21917|P21918|P35462,9615.0,,,,0,0,0,0,0,0
