,aid,aidtype,aidname,aiddesc,aidsrcid,aidsrcname,aidextid,aidmdate,cids,sids,geneids,aidcategories,protacxns,depcatg,pmids,rnai,ecs,repacxns,taxids,cellids,targettaxid,annotation,partial_agonist_desc,partial_agonist_aidname,agonist_desc,agonist_aidname,antagonist_desc,antagonist_aidname
4,56291,Confirmatory,Binding to delta opioid receptor by using [3H]DPDPE as radioligand in guinea pig brain minus cerebellum,Binding to delta opioid receptor by using [3H]DPDPE as radioligand in guinea pig brain minus cerebellum,43,ChEMBL,CHEMBL666288,20180908,5288826|44318784|44319002,103169185|103289462|103289946,4985,,P41143,Curation Efforts|Research and Development,,0,,P41143,10141.0,,,,0,0,0,0,0,0
5,56293,Literature-derived,Binding to delta opioid receptor by using [3H]DPDPE as radioligand in guinea pig brain minus cerebellum at 10 uM,Binding to delta opioid receptor by using [3H]DPDPE as radioligand in guinea pig brain minus cerebellum at 10 uM,43,ChEMBL,CHEMBL666290,20180908,15677950|15677952|15677953|44318771|44318982|44319000|44319001,103289427|103289430|103289882|103289883|103289912|103289943|103289944,4985,,P41143,Curation Efforts|Research and Development,,0,,P41143,10141.0,,,,0,0,0,0,0,0
12,76537,Literature-derived,Ratio of IC50 of morphine (agonist) after 10 min of incubation along with compound (antagonist) and IC50 of agonist in the absence of compound for delta opioid receptor at 1 uM in GPI assay (Exp 2),"Title: Synthesis and evaluation of melphalan-containing N,N-dialkylenkephalin analogues as irreversible antagonists of the delta opioid receptor._||_Abstract: N,N-Dialkylated leucine enkephalin analogues containing melphalan (Mel) in place of Phe4 were synthesized as potentially irreversible antagonists of the delta opioid receptor. These compounds, along with the corresponding Phe4 peptides, were tested for both agonist and antagonist activity in the GPI and MVD smooth muscle preparations. All but two of the eight compounds showed antagonist activity at 1 microM against [D-Ala2,D-Leu5]enkephalin (DADLE) in the MVD when tested under reversible conditions; in all cases the Mel4 peptide had lower activity against DADLE than did the corresponding Phe4 peptide. At higher concentrations (10 microM) the two active Mel4 analogues, (benzyl)2Tyr-Gly-Gly-Mel-Leu (2a) and (allyl)2Tyr-Aib-Aib-Mel-Leu (3a), both showed weak irreversible antagonism at the delta receptor. Compound 2a was a selective irreversible delta opioid antagonist while 3a was an irreversible antagonist at both the mu and delta opioid receptors.",43,ChEMBL,CHEMBL680243,20200628,44270104,103178197,4985,,P41143,Curation Efforts|Research and Development,3041000,0,,P41143,10141.0,,,,0,0,1,1,1,1
14,132701,Confirmatory,Inhibitory activity towards delta Opioid receptor using guinea pig ileum (GPI) assay was determined for the compound,"Title: Structure-activity relationships of cyclic opioid peptide analogues containing a phenylalanine residue in the 3-position._||_Abstract: Ten analogues of the highly mu-receptor selective cyclic opioid peptide H-Tyr-D-Orn-Phe-Asp-NH2 (1) were synthesized by the solid phase method and were characterized in vitro in mu- and delta-receptor representative binding assays and bioassays. These cyclic analogues are structurally related to the linear opioid peptides dermorphin and beta-casomorphin (morphiceptin), which also contain a phenylalanine residue in the 3-position of the peptide sequence. The obtained results indicate that analogous structural modifications (configurational inversion at positions 2, 3, and 4 or N alpha-methylation of Phe3) in cyclic peptide 1 and in dermorphin-related peptides had qualitatively the same effect on opioid activity, whereas the corresponding modifications in beta-casomorphins had the opposite effect. These findings can be interpreted to indicate that the mode of receptor binding of H-Tyr-D-Orn-Phe-Asp-NH2 is identical with that of dermorphin, but differs from that of beta-casomorphins. The side-chain length of the aromatic residue in position 3 of cyclic analogue 1 was shown to be critical for receptor affinity and selectivity, suggesting that mu- and delta-receptors differ from one another in the relative topographical disposition of the binding sites for the Tyr1 tyramine moiety and the Phe3 aromatic ring. Cyclic lactam analogue H-Tyr-D-Asp-Phe-A2bu-NH2, containing a reduced-size (12-membered) ring structure, showed increased mu-receptor selectivity, whereas the more flexible, cystine-containing analogue H-Tyr-D-Cys-Phe-Cys-NH2 (11-membered ring) was less selective. The latter results indicate that both ring size and ring flexibility affect receptor affinity and selectivity.",43,ChEMBL,CHEMBL742199,20181011,10415290|44306509,103178264|103258709,4985,,P41143,Curation Efforts|Research and Development,2822930,0,,P41143,10141.0,,,,0,0,0,0,0,0
15,137095,Literature-derived,Inhibitory activity towards delta Opioid receptor using guinea pig ileum (GPI) assay was determined relative to the [Leu5]-enkephalin activity,"Title: Structure-activity relationships of cyclic opioid peptide analogues containing a phenylalanine residue in the 3-position._||_Abstract: Ten analogues of the highly mu-receptor selective cyclic opioid peptide H-Tyr-D-Orn-Phe-Asp-NH2 (1) were synthesized by the solid phase method and were characterized in vitro in mu- and delta-receptor representative binding assays and bioassays. These cyclic analogues are structurally related to the linear opioid peptides dermorphin and beta-casomorphin (morphiceptin), which also contain a phenylalanine residue in the 3-position of the peptide sequence. The obtained results indicate that analogous structural modifications (configurational inversion at positions 2, 3, and 4 or N alpha-methylation of Phe3) in cyclic peptide 1 and in dermorphin-related peptides had qualitatively the same effect on opioid activity, whereas the corresponding modifications in beta-casomorphins had the opposite effect. These findings can be interpreted to indicate that the mode of receptor binding of H-Tyr-D-Orn-Phe-Asp-NH2 is identical with that of dermorphin, but differs from that of beta-casomorphins. The side-chain length of the aromatic residue in position 3 of cyclic analogue 1 was shown to be critical for receptor affinity and selectivity, suggesting that mu- and delta-receptors differ from one another in the relative topographical disposition of the binding sites for the Tyr1 tyramine moiety and the Phe3 aromatic ring. Cyclic lactam analogue H-Tyr-D-Asp-Phe-A2bu-NH2, containing a reduced-size (12-membered) ring structure, showed increased mu-receptor selectivity, whereas the more flexible, cystine-containing analogue H-Tyr-D-Cys-Phe-Cys-NH2 (11-membered ring) was less selective. The latter results indicate that both ring size and ring flexibility affect receptor affinity and selectivity.",43,ChEMBL,CHEMBL742118,20200628,10415290|44306509,103178264|103258709,4985,,P41143,Curation Efforts|Research and Development,2822930,0,,P41143,10141.0,,,,0,0,0,0,0,0
19,147919,Literature-derived,Compound was evaluated for the percent recovery of 1.0 nM of [3H]- DPDPE binding to Opioid receptor delta 1 in guinea pig brain membranes at 70(nM) concentration protection by 1 uM Naloxone.,"Title: Electrophilic opioid ligands. Oxygen tethered alpha-methylene-gamma-lactone, acrylate, isothiocyanate, and epoxide derivatives of 6 beta-naltrexol._||_Abstract: O6-Ether derivatives of 6 beta-naltrexol in which the ether substituent includes various electrophilic groups have been synthesized in an effort to examine structure-activity requirements at the 6 beta-substituent for receptor affinity and irreversibility of binding in opioid receptor preparations. A series of tethered 6 beta-ethers having terminal epoxides, alpha-methylene-gamma-lactones, and an isothiocyanate group were prepared. The stereochemistry of the alpha-methylene-gamma-lactones was established by convergent synthesis of their reduction products from epoxides of known absolute stereochemistry. In general, the tested compounds showed comparable affinity and selectivity for the receptor subtypes. All were found with high affinity for mu-sites. The terminal epoxide ether diastereomers 8 and 9 were not bound irreversibly in the assay for total opioid receptors. The alpha-methylene-gamma-lactone diastereomers 10 and 11, and their O14-acetyl precursors 20 and 21, respectively, varied in their irreversible effects, but where noted these effects were mu-site selective. Methacrylate ether 7 and isothiocyanate ether 12 were bound irreversibly at both mu- and delta-sites.",43,ChEMBL,CHEMBL753425,20200628,15663420,103279131,4985,,P41143,Curation Efforts|Research and Development,1320121,0,,P41143,10141.0,,,,0,0,0,0,0,0
20,147921,Literature-derived,Compound was evaluated for the percent recovery of 1.0 nM of [3H]- DPDPE binding to Opioid receptor delta 1 in un washed guinea pig brain membranes at 17(nM) concentration,"Title: Electrophilic opioid ligands. Oxygen tethered alpha-methylene-gamma-lactone, acrylate, isothiocyanate, and epoxide derivatives of 6 beta-naltrexol._||_Abstract: O6-Ether derivatives of 6 beta-naltrexol in which the ether substituent includes various electrophilic groups have been synthesized in an effort to examine structure-activity requirements at the 6 beta-substituent for receptor affinity and irreversibility of binding in opioid receptor preparations. A series of tethered 6 beta-ethers having terminal epoxides, alpha-methylene-gamma-lactones, and an isothiocyanate group were prepared. The stereochemistry of the alpha-methylene-gamma-lactones was established by convergent synthesis of their reduction products from epoxides of known absolute stereochemistry. In general, the tested compounds showed comparable affinity and selectivity for the receptor subtypes. All were found with high affinity for mu-sites. The terminal epoxide ether diastereomers 8 and 9 were not bound irreversibly in the assay for total opioid receptors. The alpha-methylene-gamma-lactone diastereomers 10 and 11, and their O14-acetyl precursors 20 and 21, respectively, varied in their irreversible effects, but where noted these effects were mu-site selective. Methacrylate ether 7 and isothiocyanate ether 12 were bound irreversibly at both mu- and delta-sites.",43,ChEMBL,CHEMBL753427,20200628,15663418,103278971,4985,,P41143,Curation Efforts|Research and Development,1320121,0,,P41143,10141.0,,,,0,0,0,0,0,0
21,147923,Literature-derived,Compound was evaluated for the percent recovery of 1.0 nM of [3H]- DPDPE binding to Opioid receptor delta 1 in un washed guinea pig brain membranes at 22 (nM) concentration,"Title: Electrophilic opioid ligands. Oxygen tethered alpha-methylene-gamma-lactone, acrylate, isothiocyanate, and epoxide derivatives of 6 beta-naltrexol._||_Abstract: O6-Ether derivatives of 6 beta-naltrexol in which the ether substituent includes various electrophilic groups have been synthesized in an effort to examine structure-activity requirements at the 6 beta-substituent for receptor affinity and irreversibility of binding in opioid receptor preparations. A series of tethered 6 beta-ethers having terminal epoxides, alpha-methylene-gamma-lactones, and an isothiocyanate group were prepared. The stereochemistry of the alpha-methylene-gamma-lactones was established by convergent synthesis of their reduction products from epoxides of known absolute stereochemistry. In general, the tested compounds showed comparable affinity and selectivity for the receptor subtypes. All were found with high affinity for mu-sites. The terminal epoxide ether diastereomers 8 and 9 were not bound irreversibly in the assay for total opioid receptors. The alpha-methylene-gamma-lactone diastereomers 10 and 11, and their O14-acetyl precursors 20 and 21, respectively, varied in their irreversible effects, but where noted these effects were mu-site selective. Methacrylate ether 7 and isothiocyanate ether 12 were bound irreversibly at both mu- and delta-sites.",43,ChEMBL,CHEMBL755114,20200628,15663417,103278972,4985,,P41143,Curation Efforts|Research and Development,1320121,0,,P41143,10141.0,,,,0,0,0,0,0,0
22,147925,Literature-derived,Compound was evaluated for the percent recovery of 1.0 nM of [3H]- DPDPE binding to Opioid receptor delta 1 in un washed guinea pig brain membranes at 70(nM) concentration,"Title: Electrophilic opioid ligands. Oxygen tethered alpha-methylene-gamma-lactone, acrylate, isothiocyanate, and epoxide derivatives of 6 beta-naltrexol._||_Abstract: O6-Ether derivatives of 6 beta-naltrexol in which the ether substituent includes various electrophilic groups have been synthesized in an effort to examine structure-activity requirements at the 6 beta-substituent for receptor affinity and irreversibility of binding in opioid receptor preparations. A series of tethered 6 beta-ethers having terminal epoxides, alpha-methylene-gamma-lactones, and an isothiocyanate group were prepared. The stereochemistry of the alpha-methylene-gamma-lactones was established by convergent synthesis of their reduction products from epoxides of known absolute stereochemistry. In general, the tested compounds showed comparable affinity and selectivity for the receptor subtypes. All were found with high affinity for mu-sites. The terminal epoxide ether diastereomers 8 and 9 were not bound irreversibly in the assay for total opioid receptors. The alpha-methylene-gamma-lactone diastereomers 10 and 11, and their O14-acetyl precursors 20 and 21, respectively, varied in their irreversible effects, but where noted these effects were mu-site selective. Methacrylate ether 7 and isothiocyanate ether 12 were bound irreversibly at both mu- and delta-sites.",43,ChEMBL,CHEMBL883411,20200628,15663420,103279131,4985,,P41143,Curation Efforts|Research and Development,1320121,0,,P41143,10141.0,,,,0,0,0,0,0,0
23,147927,Literature-derived,Compound was evaluated for the percent recovery of 1.0 nM of [3H]- DPDPE binding to Opioid receptor delta 1 in washed guinea pig brain membranes at 1000(nM) concentration,"Title: Electrophilic opioid ligands. Oxygen tethered alpha-methylene-gamma-lactone, acrylate, isothiocyanate, and epoxide derivatives of 6 beta-naltrexol._||_Abstract: O6-Ether derivatives of 6 beta-naltrexol in which the ether substituent includes various electrophilic groups have been synthesized in an effort to examine structure-activity requirements at the 6 beta-substituent for receptor affinity and irreversibility of binding in opioid receptor preparations. A series of tethered 6 beta-ethers having terminal epoxides, alpha-methylene-gamma-lactones, and an isothiocyanate group were prepared. The stereochemistry of the alpha-methylene-gamma-lactones was established by convergent synthesis of their reduction products from epoxides of known absolute stereochemistry. In general, the tested compounds showed comparable affinity and selectivity for the receptor subtypes. All were found with high affinity for mu-sites. The terminal epoxide ether diastereomers 8 and 9 were not bound irreversibly in the assay for total opioid receptors. The alpha-methylene-gamma-lactone diastereomers 10 and 11, and their O14-acetyl precursors 20 and 21, respectively, varied in their irreversible effects, but where noted these effects were mu-site selective. Methacrylate ether 7 and isothiocyanate ether 12 were bound irreversibly at both mu- and delta-sites.",43,ChEMBL,CHEMBL755117,20200628,5284596,103170037,4985,,P41143,Curation Efforts|Research and Development,1320121,0,,P41143,10141.0,,,,0,0,0,0,0,0
