,aid,aidtype,aidname,aiddesc,aidsrcid,aidsrcname,aidextid,aidmdate,cids,sids,geneids,aidcategories,protacxns,depcatg,pmids,rnai,ecs,repacxns,taxids,cellids,targettaxid,annotation,partial_agonist_desc,partial_agonist_aidname,agonist_desc,agonist_aidname,antagonist_desc,antagonist_aidname
3,82360,Literature-derived,Activity on Nociceptin/orphanin FQ (N/OFQ) receptor was determined by GTPgammaS functional assay using recombinant HEK293 cells; PA: Partial antagonist,Title: Design and synthesis of novel small molecule N/OFQ receptor antagonists._||_Abstract: Small molecule N/OFQ receptor antagonists were designed and synthesized to further investigate the therapeutic potential of N/OFQ receptor modulators. The resulting octahydrobenzimidazol-2-ones 14 and 23 show excellent antagonistic activity towards both N/OFQ and mu receptors with high affinity to the human N/OFQ receptor.,43,ChEMBL,CHEMBL691019,20181001,9880173|9902874|10133108|10154739,103198125|103198126|103198403|163316017,4987,,P41146,Curation Efforts|Research and Development,14980696,0,,P41146,9606.0,45.0,,,0,0,1,1,1,1
4,147406,Literature-derived,"Concentration required to stimulate [35S]GTP-gamma-S, binding to human NOP receptor in cell membrane","Title: The design and synthesis of a novel quinolizidine template for potent opioid and opioid receptor-like (ORL1, NOP) receptor ligands._||_Abstract: A new class of high affinity opioid and opioid receptor-like receptor (ORL1 receptor, NOP receptor) ligands has been designed by conformational restriction of piperidine-based NOP receptor ligands, resulting in a novel quinolizidine scaffold. Different modifications of the pendant functional groups on the scaffold provide differential activities at the opioid and NOP receptors. While the conformational rigidity will provide an improved understanding of the NOP and opioid receptor binding pockets, these compounds also provide a new template for the design of novel opiate and NOP ligands.",43,ChEMBL,CHEMBL752664,20200630,10066285|10407144|16131448|44297435|44297519|44297697|44297727,103239143|103239184|103239185|103239290|103239626|103239701|103532611,4987,,P41146,Curation Efforts|Research and Development,14684324,0,,P41146,,,,,0,0,0,0,0,0
9,147411,Confirmatory,Binding affinity for human nociceptin (NOP) receptor using [3H]N/OFQ as radioligand transfected into CHO cells,"Title: The design and synthesis of a novel quinolizidine template for potent opioid and opioid receptor-like (ORL1, NOP) receptor ligands._||_Abstract: A new class of high affinity opioid and opioid receptor-like receptor (ORL1 receptor, NOP receptor) ligands has been designed by conformational restriction of piperidine-based NOP receptor ligands, resulting in a novel quinolizidine scaffold. Different modifications of the pendant functional groups on the scaffold provide differential activities at the opioid and NOP receptors. While the conformational rigidity will provide an improved understanding of the NOP and opioid receptor binding pockets, these compounds also provide a new template for the design of novel opiate and NOP ligands.",43,ChEMBL,CHEMBL752669,20181001,10066285|10407144|16131448|44297435|44297519|44297539|44297697|44297727,103239143|103239184|103239185|103239290|103239325|103239626|103239701|103532611,4987,,P41146,Curation Efforts|Research and Development,14684324,0,,P41146,,197.0,,,0,0,0,0,0,0
12,147414,Literature-derived,"Stimulation of [35S]GTP-gamma-S, binding to human NOP receptor in cell membrane","Title: The design and synthesis of a novel quinolizidine template for potent opioid and opioid receptor-like (ORL1, NOP) receptor ligands._||_Abstract: A new class of high affinity opioid and opioid receptor-like receptor (ORL1 receptor, NOP receptor) ligands has been designed by conformational restriction of piperidine-based NOP receptor ligands, resulting in a novel quinolizidine scaffold. Different modifications of the pendant functional groups on the scaffold provide differential activities at the opioid and NOP receptors. While the conformational rigidity will provide an improved understanding of the NOP and opioid receptor binding pockets, these compounds also provide a new template for the design of novel opiate and NOP ligands.",43,ChEMBL,CHEMBL752672,20181001,10066285|10407144|16131448|44297435,103239143|103239184|103239185|103532611,4987,,P41146,Curation Efforts|Research and Development,14684324,0,,P41146,,,,,0,0,0,0,0,0
13,147416,Confirmatory,Ability to displace [125I]-Tyr14 at nociceptin (NOP) receptor,"Title: The design and synthesis of a novel quinolizidine template for potent opioid and opioid receptor-like (ORL1, NOP) receptor ligands._||_Abstract: A new class of high affinity opioid and opioid receptor-like receptor (ORL1 receptor, NOP receptor) ligands has been designed by conformational restriction of piperidine-based NOP receptor ligands, resulting in a novel quinolizidine scaffold. Different modifications of the pendant functional groups on the scaffold provide differential activities at the opioid and NOP receptors. While the conformational rigidity will provide an improved understanding of the NOP and opioid receptor binding pockets, these compounds also provide a new template for the design of novel opiate and NOP ligands.",43,ChEMBL,CHEMBL752673,20181001,416359,103238914,4987,,P41146,Curation Efforts|Research and Development,14684324,0,,P41146,,,,,0,0,0,0,0,0
19,147638,Literature-derived,"Functional [35S]GTP-gamma-S, binding for human ORL1 receptor carried out in CHO cell membranes.",Title: Synthesis and structure-activity relationships of aminoalkylazetidines as ORL1 receptor ligands._||_Abstract: A series of aminoalkylazetidines has been discovered as novel ORL1 receptor ligands. Structure-activity relationships have been investigated at the azetidine N and the alkyl side chain sites. Several potent and selective analogues have been identified.,43,ChEMBL,CHEMBL749955,20180930,10172398|10194236|10286996|44336905|44337108|44337123|44337131|44337229|44337351|44337357|44337379|44337452,103326789|103327278|103327280|103327307|103327309|103327326|103327373|103327521|103327795|103327810|103327852|103328016,4987,,P41146,Curation Efforts|Research and Development,12372523,0,,P41146,,197.0,,,0,0,0,0,0,0
21,147640,Literature-derived,"Functional [35S]GTP-gamma-S, binding for human ORL1 receptor carried out in CHO cell membranes.",Title: Synthesis and structure-activity relationships of aminoalkylazetidines as ORL1 receptor ligands._||_Abstract: A series of aminoalkylazetidines has been discovered as novel ORL1 receptor ligands. Structure-activity relationships have been investigated at the azetidine N and the alkyl side chain sites. Several potent and selective analogues have been identified.,43,ChEMBL,CHEMBL749957,20180930,10150001|10150260|10193971|10286440|44336906|44337129|44337130|44337163|44337230|44337231|44337232|44337249|44337252|44337362|44337459|44337460|44337461|44337473|44337513|44337550|44337551,103326790|103327299|103327322|103327323|103327346|103327391|103327486|103327527|103327528|103327530|103327551|103327558|103327815|103327840|103328036|103328037|103328038|103328056|103328150|103328238|103328239,4987,,P41146,Curation Efforts|Research and Development,12372523,0,,P41146,,197.0,,,0,0,0,0,0,0
24,147763,Confirmatory,"Compound was evaluated for increase in [35S]GTP-gamma-S, binding for human ORL1 receptor carried out in CHO cell membranes; Nd: no data",Title: Synthesis and structure-activity relationships of aminoalkylazetidines as ORL1 receptor ligands._||_Abstract: A series of aminoalkylazetidines has been discovered as novel ORL1 receptor ligands. Structure-activity relationships have been investigated at the azetidine N and the alkyl side chain sites. Several potent and selective analogues have been identified.,43,ChEMBL,CHEMBL756269,20180930,16131448,103532611,4987,,P41146,Curation Efforts|Research and Development,12372523,0,,P41146,,197.0,,,0,0,0,0,0,0
28,147767,Confirmatory,Inhibition of human ORL1 orphanin receptor,"Title: From hit to lead. Analyzing structure-profile relationships._||_Abstract: Two compounds, obtained by random screening, and displaying micromolar activities on the mu opiate receptor were used as starting points for optimization. In that work, the traditional concept of the activity of a compound (related to one or a few targets) was extended to the comprehensive pharmacological profile of that compound on more than 70 receptors, transporters, and channels relevant to a CNS-oriented project. Using the two complementary design strategies based on two similarity concepts described in the previous paper, we have obtained analogues with IC(50) values ranging between 0.9 nM and a few micromolar on the mu receptor and displaying qualitatively different profiles. We discuss here, both on a case-by-case basis and from a statistical standpoint, the pharmacological profiles in light of the two similarity concepts.",43,ChEMBL,CHEMBL756273,20181017,10004950|10905740|10937901|10948527|10949380|10981761|11143820|11811722|44342270,103338362|103338363|103338365|103338403|103338611|103338860|103339117|103339119|103339458,4987,,P41146,Curation Efforts|Research and Development,11585444,0,,P41146,9606.0,,,,0,0,0,0,0,0
30,147769,Literature-derived,Concentration of compound that inhibits the binding of human ORL1 receptor in CHO cell membranes in the presence of [125I]nociceptin radioligand at a concentration of 10 uM,Title: Synthesis and structure-activity relationships of aminoalkylazetidines as ORL1 receptor ligands._||_Abstract: A series of aminoalkylazetidines has been discovered as novel ORL1 receptor ligands. Structure-activity relationships have been investigated at the azetidine N and the alkyl side chain sites. Several potent and selective analogues have been identified.,43,ChEMBL,CHEMBL756275,20180930,44336906|44337130,103326790|103327323,4987,,P41146,Curation Efforts|Research and Development,12372523,0,,P41146,,197.0,,,0,0,0,0,0,0
