,aid,aidtype,aidname,aiddesc,aidsrcid,aidsrcname,aidextid,aidmdate,cids,sids,geneids,aidcategories,protacxns,depcatg,pmids,rnai,ecs,repacxns,taxids,cellids,targettaxid,annotation,partial_agonist_desc,partial_agonist_aidname,agonist_desc,agonist_aidname,antagonist_desc,antagonist_aidname
0,1673112,Literature-derived,Displacement of [3H]-Diprenorphine from recombinant full length human mu opioid receptor expressed in CHO-K1 cells assessed as residual binding level for radioligand at 10 uM incubated for 60 mins by scintillation counting analysis relative to control,"Title: VU6005806/AZN-00016130, an advanced M positive allosteric modulator (PAM) profiled as a potential preclinical development candidate._||_Abstract: This letter describes progress towards an M PAM preclinical candidate that resulted in the discovery of VU6005806/AZN-00016130. While the thieno[2,3-c]pyridazine core has been a consistent feature of key M PAMs, no work had previously been reported with respect to alternate functionality at the C3 position of the pyridazine ring. Here, we detail new chemistry and analogs that explored this region, and quickly led to VU6005806/AZN-00016130, which was profiled as a putative candidate. While, the β-amino carboxamide moiety engendered solubility limited absorption in higher species precluding advancement (or requiring extensive pharmaceutical sciences formulation), VU6005806/AZN-00016130 represents a new, high quality preclinical in vivo probe.",43,ChEMBL,CHEMBL4667528,20220318,134263768,461557059,4988,,P35372,Curation Efforts|Research and Development,31113706,0,,P35372,9606,,,,0,0,0,0,0,0
6,1676706,Literature-derived,Displacement of [3H]DAMGO from human recombinant mu receptor at 10 uM after 120 mins by scintillation counting analysis relative to control,"Title: Discovery of VU6027459: A First-in-Class Selective and CNS Penetrant mGlu Positive Allosteric Modulator Tool Compound._||_Abstract: Herein, we report the discovery of the first selective and CNS penetrant mGlu PAM (VU6027459) derived from a 'molecular switch' within a selective mGlu NAM chemotype. VU6027459 displayed CNS penetration in both mice (K = 2.74) and rats (K= 4.78), it was orally bioavailable in rats (%F = 69.5), and undesired activity at DAT was ablated.",43,ChEMBL,CHEMBL4671122,20220318,162654767|162660757,461531283|461539738,4988,,P35372,Curation Efforts|Research and Development,32944146,0,,P35372,9606,,,,0,0,0,0,0,0
10,1679107,Literature-derived,Binding affinity to MOR (unknown origin) at <= 1 uM,"Title: Synthesis and sigma receptor affinity of spiro[[2]benzopyran-1,1-cyclohexanes] with an exocyclic amino moiety in the 3-position_||_Abstract: The main functions of sigma1 receptors include the modulation of release and reuptake of neurotransmitters, the regulation of ion channels and the influence on intracellular signaling through modulation of calcium levels. Due to these properties, sigma1 receptors are interesting drug targets for the treatment of various neurological disorders, pain and cancer. In order to modify the distance between the pharmacophoric elements (the benzene ring of 2-benzopyran and an amino moiety), a set of spiro[[2]benzopyran-1,1-cyclohexan]-3-amines was synthesized. The key step of the synthesis was a Parham cyclization of 1-bromo-2-(2-bromoethyl)benzene (6) with the mono ketal 7 of cyclohexane-1,3-dione, which led in a one-pot reaction to the spirocyclic framework 8. Reductive amination of ketone 9 stereoselectively provided secondary amines cis-4, which were methylated to afford tertiary amines cis-5. Whereas spirocyclic compounds cis-4a and cis-5a bearing a benzyl moiety at the exocyclic amino moiety showed rather low sigma1 affinity, the corresponding cyclohexylmethyl derivatives cis-4b and cis-5b exhibited low nanomolar sigma1 affinity. The secondary amine cis-4b displayed the highest sigma1 receptor affinity (Ki = 5.4 nM) in this series. Methylation of the secondary amine cis-4b led to a slightly decreased sigma1 receptor affinity of cis-5b (Ki = 15 nM).",43,ChEMBL,CHEMBL4673758,20220318,162672290,461556225,4988,,P35372,Curation Efforts|Research and Development,34046612,0,,P35372,9606,,,,0,0,0,0,0,0
11,1679113,Confirmatory,Binding affinity to MOR (unknown origin),"Title: Synthesis and sigma receptor affinity of spiro[[2]benzopyran-1,1-cyclohexanes] with an exocyclic amino moiety in the 3-position_||_Abstract: The main functions of sigma1 receptors include the modulation of release and reuptake of neurotransmitters, the regulation of ion channels and the influence on intracellular signaling through modulation of calcium levels. Due to these properties, sigma1 receptors are interesting drug targets for the treatment of various neurological disorders, pain and cancer. In order to modify the distance between the pharmacophoric elements (the benzene ring of 2-benzopyran and an amino moiety), a set of spiro[[2]benzopyran-1,1-cyclohexan]-3-amines was synthesized. The key step of the synthesis was a Parham cyclization of 1-bromo-2-(2-bromoethyl)benzene (6) with the mono ketal 7 of cyclohexane-1,3-dione, which led in a one-pot reaction to the spirocyclic framework 8. Reductive amination of ketone 9 stereoselectively provided secondary amines cis-4, which were methylated to afford tertiary amines cis-5. Whereas spirocyclic compounds cis-4a and cis-5a bearing a benzyl moiety at the exocyclic amino moiety showed rather low sigma1 affinity, the corresponding cyclohexylmethyl derivatives cis-4b and cis-5b exhibited low nanomolar sigma1 affinity. The secondary amine cis-4b displayed the highest sigma1 receptor affinity (Ki = 5.4 nM) in this series. Methylation of the secondary amine cis-4b led to a slightly decreased sigma1 receptor affinity of cis-5b (Ki = 15 nM).",43,ChEMBL,CHEMBL4673764,20220318,162659961,461538615,4988,,P35372,Curation Efforts|Research and Development,34046612,0,,P35372,9606,,,,0,0,0,0,0,0
21,1682287,Literature-derived,Inhibition of human Mu-type opioid receptor at 10 uM relative to control,"Title: Pyridine alkaloids with activity in the central nervous system._||_Abstract: This review discusses all pyridine alkaloids with CNS activity, their therapeutic potential, and the interesting array of sources whence they originate.",43,ChEMBL,CHEMBL4676938,20220318,854019,103707730,4988,,P35372,Curation Efforts|Research and Development,33120080,0,,P35372,9606,,,,0,0,0,0,0,0
35,1685548,Literature-derived,Inhibition of human mu-opioid receptor at 10 uM,"Title: Natural product inspired optimization of a selective TRPV6 calcium channel inhibitor_||_Abstract: Transient receptor potential vanilloid 6 (TRPV6) is a calcium channel implicated in multifactorial diseases and overexpressed in numerous cancers. We recently reported the phenyl-cyclohexyl-piperazine cis-22a as the first submicromolar TRPV6 inhibitor. This inhibitor showed a seven-fold selectivity against the closely related calcium channel TRPV5 and no activity on store-operated calcium channels (SOC), but very significant off-target effects and low microsomal stability. Here, we surveyed analogues incorporating structural features of the natural product capsaicin and identified 3OG, a new oxygenated analog with similar potency against TRPV6 (IC50 = 0.082 +/- 0.004 microM) and ion channel selectivity, but with high microsomal stability and very low off-target effects. This natural product-inspired inhibitor does not exhibit any non-specific toxicity effects on various cell lines and is proposed as a new tool compound to test pharmacological inhibition of TRPV6 mediated calcium flux in disease models.",43,ChEMBL,CHEMBL4680558,20220318,155804579,461516429,4988,,P35372,Curation Efforts|Research and Development,33479695,0,,P35372,9606,,,,0,0,0,0,0,0
36,1692673,Literature-derived,Inhibition of mu-type opioid receptor (unknown origin) at 10 uM relative to control,"Title: The Essential Medicinal Chemistry of Cannabidiol (CBD)._||_Abstract: This Perspective of the published essential medicinal chemistry of cannabidiol (CBD) provides evidence that the popularization of CBD-fortified or CBD-labeled health products and CBD-associated health claims lacks a rigorous scientific foundation. CBD's reputation as a cure-all puts it in the same class as other 'natural' panaceas, where valid ethnobotanicals are reduced to single, purportedly active ingredients. Such reductionist approaches oversimplify useful, chemically complex mixtures in an attempt to rationalize the commercial utility of natural compounds and exploit the 'natural' label. Literature evidence associates CBD with certain semiubiquitous, broadly screened, primarily plant-based substances of undocumented purity that interfere with bioassays and have a low likelihood of becoming therapeutic agents. Widespread health challenges and pandemic crises such as SARS-CoV-2 create circumstances under which scientists must be particularly vigilant about healing claims that lack solid foundational data. Herein, we offer a critical review of the published medicinal chemistry properties of CBD, as well as precise definitions of CBD-containing substances and products, distilled to reveal the essential factors that impact its development as a therapeutic agent.",43,ChEMBL,CHEMBL4687683,20220318,644019,103460177,4988,,P35372,Curation Efforts|Research and Development,32804502,0,,P35372,9606,,,,0,0,0,0,0,0
37,1692682,Confirmatory,Inhibition of mu-type opioid receptor (unknown origin),"Title: The Essential Medicinal Chemistry of Cannabidiol (CBD)._||_Abstract: This Perspective of the published essential medicinal chemistry of cannabidiol (CBD) provides evidence that the popularization of CBD-fortified or CBD-labeled health products and CBD-associated health claims lacks a rigorous scientific foundation. CBD's reputation as a cure-all puts it in the same class as other 'natural' panaceas, where valid ethnobotanicals are reduced to single, purportedly active ingredients. Such reductionist approaches oversimplify useful, chemically complex mixtures in an attempt to rationalize the commercial utility of natural compounds and exploit the 'natural' label. Literature evidence associates CBD with certain semiubiquitous, broadly screened, primarily plant-based substances of undocumented purity that interfere with bioassays and have a low likelihood of becoming therapeutic agents. Widespread health challenges and pandemic crises such as SARS-CoV-2 create circumstances under which scientists must be particularly vigilant about healing claims that lack solid foundational data. Herein, we offer a critical review of the published medicinal chemistry properties of CBD, as well as precise definitions of CBD-containing substances and products, distilled to reveal the essential factors that impact its development as a therapeutic agent.",43,ChEMBL,CHEMBL4687692,20220318,644019,103460177,4988,,P35372,Curation Efforts|Research and Development,32804502,0,,P35372,9606,,,,0,0,0,0,0,0
68,1718175,Confirmatory,Binding affinity to mu opioid receptor (unknown origin),"Title: Small Molecules Selectively Targeting Sigma-1 Receptor for the Treatment of Neurological Diseases._||_Abstract: The sigma-1 (σ) receptor, an enigmatic protein originally classified as an opioid receptor subtype, is now understood to possess unique structural and functional features of its own and play critical roles to widely impact signaling transduction by interacting with receptors, ion channels, lipids, and kinases. The σ receptor is implicated in modulating learning, memory, emotion, sensory systems, neuronal development, and cognition and accordingly is now an actively pursued drug target for various neurological and neuropsychiatric disorders. Evaluation of the five selective σ receptor drug candidates (pridopidine, ANAVEX2-73, SA4503, S1RA, and T-817MA) that have entered clinical trials has shown that reaching clinical approval remains an evasive and important goal. This review provides up-to-date information on the selective targeting of σ receptors, including their history, function, reported crystal structures, and roles in neurological diseases, as well as a useful collation of new chemical entities as σ selective orthosteric ligands or allosteric modulators.",43,ChEMBL,CHEMBL4723559,20220318,441278,103178693,4988,,P35372,Curation Efforts|Research and Development,33111525,0,,P35372,9606,,,,0,0,0,0,0,0
69,1725044,Literature-derived,Inhibition of MOR (unknown origin) relative to control,"Title: Synthesis and SAR Studies of 1H-Pyrrolo[2,3-b]pyridine-2-carboxamides as Phosphodiesterase 4B (PDE4B) Inhibitors._||_Abstract: Herein we report the synthesis, SAR, and biological evaluation of a series of 1H-pyrrolo[2,3-b]pyridine-2-carboxamide derivatives as selective and potent PDE4B inhibitors. Compound 11h is a PDE4B preferring inhibitor and exhibited acceptable in vitro ADME and significantly inhibited TNF-α release from macrophages exposed to pro-inflammatory stimuli (i.e., lipopolysaccharide and the synthetic bacterial lipopeptide Pam3Cys). In addition, 11h was selective against a panel of CNS receptors and represents an excellent lead for further optimization and preclinical testing in the setting of CNS diseases.",43,ChEMBL,CHEMBL4730715,20220318,162665987,461547259,4988,,P35372,Curation Efforts|Research and Development,33062163,0,,P35372,9606,,,,0,0,0,0,0,0
