aid,aidtype,aidname,aiddesc,aidsrcid,aidsrcname,aidextid,aidmdate,cids,sids,geneids,aidcategories,protacxns,depcatg,pmids,rnai,ecs,repacxns,taxids,cellids,targettaxid,annotation,partial_agonist_desc,partial_agonist_aidname,agonist_desc,agonist_aidname,antagonist_desc,antagonist_aidname
148333,Confirmatory,"Concentration necessary to produce 50% of the Emax value, i.e. to stimulate [35S]GTP-gamma-S, binding to recombinant human Opioid receptor mu 1 expressed in CHO cells","Title: Synthesis and biological evaluation of 14-alkoxymorphinans. 21. Novel 4-alkoxy and 14-phenylpropoxy derivatives of the mu opioid receptor antagonist cyprodime._||_Abstract: The synthesis, biological, and pharmacological evaluation of novel derivatives of cyprodime are described. Their binding affinities at mu, delta, and kappa opioid receptors were evaluated using receptor binding assay. It was observed that the affinity of these compounds was sensitive to the character and length of the substituent in position 4. Further prolongation of the 4-alkoxy group of cyprodime (1) and its 4-butoxy analogue 2 is detrimental for the mu opioid receptor affinity. Introduction of an arylalkoxy group at C-4 does not increase mu affinity in the case of benzyloxy, while a phenylpropoxy group reduces mu affinity. The delta and kappa affinities were also reduced compared to the reference compounds. A significant increase in the affinity at the mu opioid receptors was achieved by introducing a 14-phenylpropoxy group. Increases in the affinity at delta and kappa receptors were also observed. These findings provide further evidence that the nature of the substituent at position 14 has a major impact on the abilities of morphinans to interact with opioid receptors. In the [(35)S]GTPgammaS binding assay, all tested compounds were partial agonists at mu and delta receptors. Compounds 8 and 17 showed antagonism at kappa receptors, while compound 7 exhibited some partial agonist activity at this receptor. The novel derivatives of cyprodime containing a 14-phenylpropoxy group acted as potent antinociceptives. When tested in vivo, compounds 7, 8, and 17 were considerably more potent than morphine, with phenol 7 showing the highest antinociceptive potency (21-fold in the hot plate test, 38-fold in the tail flick test, and 300-fold in the paraphenylquinone writhing test) in mice. Introduction of a 14-phenylpropoxy substituent leads to a profound alteration in the pharmacological profile of this class of compounds.",43,ChEMBL,CHEMBL749655,20181017,5748293|44339409|44339472|44339475|44339521,103332294|103332388|103332565|103332568|103332685,4988,,P35372,Curation Efforts|Research and Development,15163203,0,,P35372,,197.0,,,1,0,1,0,1,0
148341,Confirmatory,Inhibitory activity in stimulating [35S]-GTP-gamma S binding mediated by the Opioid receptor mu 1 in chinese Hamster Ovary (CHO) cell membranes was determined,"Title: Design and synthesis of novel dimeric morphinan ligands for kappa and micro opioid receptors._||_Abstract: A novel series of morphinans were synthesized, and their binding affinity at and functional selectivity for micro, delta, and kappa opioid receptors were evaluated. These dimeric ligands can be viewed as dimeric morphinans, which were formed by coupling two identical morphinan pharmacophores (cyclorphan (1) or MCL 101 (2)) with varying connecting spacers. Ligands 6 and 7 with alkyl spacers on the nitrogen position and ligands 8 and 9 in which the two morphinan pharmacophores were coupled by ether moieties at the 3-hydroxyl positions showed significant decrease in affinity at all three opioid receptors. An improvement in the affinity was achieved by introducing an ester moiety as the spacer in the dimeric morphinans. It was observed that the affinity of these ligands was sensitive to the character and length of the spacer. Compound 13 (MCL-139) with a 4-carbon ester spacer, compound 17 (MCL-144) containing a 10-carbon spacer, and compound 19 (MCL-145) with the conformationally constrained fumaryl spacer were the most potent ligands in this series, displaying excellent affinities at micro and kappa receptors (K(i) = 0.09-0.2 nM at micro and K(i) = 0.078-0.049 nM at kappa), which were comparable to the parent compound 2. Ligand 12, a compound containing only one morphinan pharmacophore and a long-chain ester group, had affinity at both micro and kappa receptors almost identical to that of the parent ligand 2. In the [(35)S]GTPgammaS binding assay, ligands 13, 17, and 19 and their parent morphinans 1 and 2 stimulated [(35)S]GTPgammaS binding mediated by the micro and kappa receptors. Compounds 13 and 17 were full kappa agonists and partial micro agonists, while compound 19 was a partial agonist at both micro and kappa receptors. These novel ligands, as well as their interesting pharmacological properties, will serve as the basis for our continuing investigation of the dimeric ligands as potential probes for the pharmacotherapy of cocaine abuse and may also open new avenues for the characterization of opioid receptors.",43,ChEMBL,CHEMBL749732,20181017,5359966|9897164|10078468|10462426|11262815|11308721|11364225,103230838|103393362|103393363|103393415|103393930|103394107|103394260,4988,,P35372,Curation Efforts|Research and Development,14613319,0,,P35372,,,,,1,0,1,0,0,0
148345,Confirmatory,"Stimulation of [35S]GTP-gamma-S, binding to recombinant human Opioid receptor mu 1 expressed in CHO cells","Title: 14-amino, 14-alkylamino, and 14-acylamino analogs of oxymorphindole. Differential effects on opioid receptor binding and functional profiles._||_Abstract: The 14-amino analogue of oxymorphindole (OMI) was synthesized and found to possess delta-opioid binding affinity and selectivity similar to OMI. Substitution of the amino group with alkyl, arylalkyl, and acyl groups had relatively little effect on delta-affinity but delta-selectivity was reduced. In functional assays the 14-phenylacetylamino derivative 6d was a selective delta-agonist whereas the phenethylamino analogue 5d was a mu-agonist and low efficacy delta partial agonist that warrants further investigation as an analgesic with low tolerance and dependence.",43,ChEMBL,CHEMBL749736,20181017,105104|5462471|10323346|10435156|44299404|71450932|71452746|71456256|71456257|71456258|71458065|71461667|71461668,103177815|103217856|103243877|163316036|163319497|163326369|163326370|163326371|163326372|163329761|163336743|163336744|163336745,4988,,P35372,Curation Efforts|Research and Development,12672258,0,,P35372,9606,197.0,,,1,0,1,0,0,0
148351,Literature-derived,Percent maximal stimulation in [35S]-GTP-gamma S binding assay mediated by the Opioid receptor mu 1 in chinese Hamster Ovary (CHO)membranes,"Title: Design and synthesis of novel dimeric morphinan ligands for kappa and micro opioid receptors._||_Abstract: A novel series of morphinans were synthesized, and their binding affinity at and functional selectivity for micro, delta, and kappa opioid receptors were evaluated. These dimeric ligands can be viewed as dimeric morphinans, which were formed by coupling two identical morphinan pharmacophores (cyclorphan (1) or MCL 101 (2)) with varying connecting spacers. Ligands 6 and 7 with alkyl spacers on the nitrogen position and ligands 8 and 9 in which the two morphinan pharmacophores were coupled by ether moieties at the 3-hydroxyl positions showed significant decrease in affinity at all three opioid receptors. An improvement in the affinity was achieved by introducing an ester moiety as the spacer in the dimeric morphinans. It was observed that the affinity of these ligands was sensitive to the character and length of the spacer. Compound 13 (MCL-139) with a 4-carbon ester spacer, compound 17 (MCL-144) containing a 10-carbon spacer, and compound 19 (MCL-145) with the conformationally constrained fumaryl spacer were the most potent ligands in this series, displaying excellent affinities at micro and kappa receptors (K(i) = 0.09-0.2 nM at micro and K(i) = 0.078-0.049 nM at kappa), which were comparable to the parent compound 2. Ligand 12, a compound containing only one morphinan pharmacophore and a long-chain ester group, had affinity at both micro and kappa receptors almost identical to that of the parent ligand 2. In the [(35)S]GTPgammaS binding assay, ligands 13, 17, and 19 and their parent morphinans 1 and 2 stimulated [(35)S]GTPgammaS binding mediated by the micro and kappa receptors. Compounds 13 and 17 were full kappa agonists and partial micro agonists, while compound 19 was a partial agonist at both micro and kappa receptors. These novel ligands, as well as their interesting pharmacological properties, will serve as the basis for our continuing investigation of the dimeric ligands as potential probes for the pharmacotherapy of cocaine abuse and may also open new avenues for the characterization of opioid receptors.",43,ChEMBL,CHEMBL749741,20181017,5359966|9897164|10078468|10462426|11204993|11239327|11262815|11308721|11364225|11434336,103230838|103393362|103393363|103393415|103393930|103393960|103393961|103394107|103394260|103394266,4988,,P35372,Curation Efforts|Research and Development,14613319,0,,P35372,9606,,,,1,0,1,0,0,0
150827,Literature-derived,Maximal percent inhibitory activity was determined in stimulating [35S]-GTP-gamma S binding mediated by the Opioid receptor mu 1 in chinese Hamster Ovary (CHO) cell membranes,"Title: Design and synthesis of novel dimeric morphinan ligands for kappa and micro opioid receptors._||_Abstract: A novel series of morphinans were synthesized, and their binding affinity at and functional selectivity for micro, delta, and kappa opioid receptors were evaluated. These dimeric ligands can be viewed as dimeric morphinans, which were formed by coupling two identical morphinan pharmacophores (cyclorphan (1) or MCL 101 (2)) with varying connecting spacers. Ligands 6 and 7 with alkyl spacers on the nitrogen position and ligands 8 and 9 in which the two morphinan pharmacophores were coupled by ether moieties at the 3-hydroxyl positions showed significant decrease in affinity at all three opioid receptors. An improvement in the affinity was achieved by introducing an ester moiety as the spacer in the dimeric morphinans. It was observed that the affinity of these ligands was sensitive to the character and length of the spacer. Compound 13 (MCL-139) with a 4-carbon ester spacer, compound 17 (MCL-144) containing a 10-carbon spacer, and compound 19 (MCL-145) with the conformationally constrained fumaryl spacer were the most potent ligands in this series, displaying excellent affinities at micro and kappa receptors (K(i) = 0.09-0.2 nM at micro and K(i) = 0.078-0.049 nM at kappa), which were comparable to the parent compound 2. Ligand 12, a compound containing only one morphinan pharmacophore and a long-chain ester group, had affinity at both micro and kappa receptors almost identical to that of the parent ligand 2. In the [(35)S]GTPgammaS binding assay, ligands 13, 17, and 19 and their parent morphinans 1 and 2 stimulated [(35)S]GTPgammaS binding mediated by the micro and kappa receptors. Compounds 13 and 17 were full kappa agonists and partial micro agonists, while compound 19 was a partial agonist at both micro and kappa receptors. These novel ligands, as well as their interesting pharmacological properties, will serve as the basis for our continuing investigation of the dimeric ligands as potential probes for the pharmacotherapy of cocaine abuse and may also open new avenues for the characterization of opioid receptors.",43,ChEMBL,CHEMBL754567,20181017,5359966|9897164|10078468|10462426|11204993|11239327|11262815|11308721|11364225|11434336,103230838|103393362|103393363|103393415|103393930|103393960|103393961|103394107|103394260|103394266,4988,,P35372,Curation Efforts|Research and Development,14613319,0,,P35372,,,,,1,0,1,0,0,0
150841,Confirmatory,Displacement of [3H]DAMGO from human recombinant Opioid receptor mu 1 on CHO cell membranes.,"Title: 14-amino, 14-alkylamino, and 14-acylamino analogs of oxymorphindole. Differential effects on opioid receptor binding and functional profiles._||_Abstract: The 14-amino analogue of oxymorphindole (OMI) was synthesized and found to possess delta-opioid binding affinity and selectivity similar to OMI. Substitution of the amino group with alkyl, arylalkyl, and acyl groups had relatively little effect on delta-affinity but delta-selectivity was reduced. In functional assays the 14-phenylacetylamino derivative 6d was a selective delta-agonist whereas the phenethylamino analogue 5d was a mu-agonist and low efficacy delta partial agonist that warrants further investigation as an analgesic with low tolerance and dependence.",43,ChEMBL,CHEMBL754376,20181017,105104|5360515|5462471|5480230|5491897|5497186|10323346|10435156|44299404|71450932|71452746|71456256|71456257|71456258|71458065|71461667|71461668,103177815|103217856|103243877|103553488|103697951|103698780|131283791|163316036|163319497|163326369|163326370|163326371|163326372|163329761|163336743|163336744|163336745,4988,,P35372,Curation Efforts|Research and Development,12672258,0,,P35372,,197.0,,,1,0,1,0,0,0
151001,Confirmatory,Inhibitory activity against Opioid receptor mu 1 in chinese Hamster Ovary (CHO) cells membranes was determined using [3H]-DAMGO radioligand,"Title: Design and synthesis of novel dimeric morphinan ligands for kappa and micro opioid receptors._||_Abstract: A novel series of morphinans were synthesized, and their binding affinity at and functional selectivity for micro, delta, and kappa opioid receptors were evaluated. These dimeric ligands can be viewed as dimeric morphinans, which were formed by coupling two identical morphinan pharmacophores (cyclorphan (1) or MCL 101 (2)) with varying connecting spacers. Ligands 6 and 7 with alkyl spacers on the nitrogen position and ligands 8 and 9 in which the two morphinan pharmacophores were coupled by ether moieties at the 3-hydroxyl positions showed significant decrease in affinity at all three opioid receptors. An improvement in the affinity was achieved by introducing an ester moiety as the spacer in the dimeric morphinans. It was observed that the affinity of these ligands was sensitive to the character and length of the spacer. Compound 13 (MCL-139) with a 4-carbon ester spacer, compound 17 (MCL-144) containing a 10-carbon spacer, and compound 19 (MCL-145) with the conformationally constrained fumaryl spacer were the most potent ligands in this series, displaying excellent affinities at micro and kappa receptors (K(i) = 0.09-0.2 nM at micro and K(i) = 0.078-0.049 nM at kappa), which were comparable to the parent compound 2. Ligand 12, a compound containing only one morphinan pharmacophore and a long-chain ester group, had affinity at both micro and kappa receptors almost identical to that of the parent ligand 2. In the [(35)S]GTPgammaS binding assay, ligands 13, 17, and 19 and their parent morphinans 1 and 2 stimulated [(35)S]GTPgammaS binding mediated by the micro and kappa receptors. Compounds 13 and 17 were full kappa agonists and partial micro agonists, while compound 19 was a partial agonist at both micro and kappa receptors. These novel ligands, as well as their interesting pharmacological properties, will serve as the basis for our continuing investigation of the dimeric ligands as potential probes for the pharmacotherapy of cocaine abuse and may also open new avenues for the characterization of opioid receptors.",43,ChEMBL,CHEMBL753407,20181017,60768|5359272|5359966|9804450|9897164|10078468|10462426|11158498|11181676|11204993|11239327|11262815|11307039|11308699|11308721|11364225|11365113|11388486|11411315|11434336|44365804,103230837|103230838|103316363|103393362|103393363|103393415|103393416|103393419|103393420|103393421|103393930|103393960|103393961|103394107|103394260|103394264|103394265|103394266|103394653|103394654|123085530,4988,,P35372,Curation Efforts|Research and Development,14613319,0,,P35372,,197.0,,,1,0,1,0,0,0
151009,Literature-derived,"Percent stimulation of [35S]GTP-gamma-S, binding in recombinant human Opioid receptor mu 1 transfected into CHO cells","Title: 14-amino, 14-alkylamino, and 14-acylamino analogs of oxymorphindole. Differential effects on opioid receptor binding and functional profiles._||_Abstract: The 14-amino analogue of oxymorphindole (OMI) was synthesized and found to possess delta-opioid binding affinity and selectivity similar to OMI. Substitution of the amino group with alkyl, arylalkyl, and acyl groups had relatively little effect on delta-affinity but delta-selectivity was reduced. In functional assays the 14-phenylacetylamino derivative 6d was a selective delta-agonist whereas the phenethylamino analogue 5d was a mu-agonist and low efficacy delta partial agonist that warrants further investigation as an analgesic with low tolerance and dependence.",43,ChEMBL,CHEMBL753414,20181017,105104|5462471|10323346|10435156|44299404|71450932|71452746|71458065|71461668,103177815|103217856|103243877|163316036|163319497|163326371|163329761|163336744|163336745,4988,,P35372,Curation Efforts|Research and Development,12672258,0,,P35372,,197.0,,,1,0,1,0,0,0
226077,Literature-derived,Potency against opioid receptor relative to morphine,"Title: Opioid agonist and antagonist activities of peripherally selective derivatives of naltrexamine and oxymorphamine._||_Abstract: A series of beta-naltrexamine and beta-oxymorphamine derivatives that contain ionizable moieties coupled to the 6 beta-amino group were synthesized in an effort to develop antagonists and agonists that have negligible access into the central nervous system (CNS). Among the beta-naltrexamine derivatives 1-7, all displayed partial agonism on the guinea pig ileal longitudinal muscle preparation except for aspartyl derivative 6, which was a full agonist with activity in the range of morphine. The beta-oxymorphamine derivatives 8-12 were all full agonists with potencies ranging from 1.5 to 6.1 times that of morphine. Among the compounds evaluated in mice for antinociceptive or opioid antagonist activities, aspartyl derivative 6 possessed the greatest difference between peripheral (po or iv) and icv equiactive antagonist doses. Compared to naltrexone, 6 was greater than 100 times more potent by the icv route, but 6000-10,000 times less potent when administered po or icv. The present study suggests that zwitterionic groups are highly effective in preventing penetration of ligands into the CNS. Such ligands may be useful pharmacologic tools for investigation of peripheral opioid mechanisms. Moreover, they could find clinical applications when the central actions are unwanted.",43,ChEMBL,CHEMBL845234,20200628,13894004,163333212,4985|4986|4988,,P35372|P41143|P41145,Curation Efforts|Research and Development,2475628,0,,P35372|P41143|P41145,10141,,,,1,0,1,0,1,0
228311,Literature-derived,"Compound was evaluated for opioid receptor selectivity, expressed as Ki ratio (kappa/mu/delta); 1.5/1/228","Title: Synthesis and opioid activity of side-chain-to-side-chain cyclic dynorphin A-(1-11) amide analogues cyclized between positions 2 and 5. 1. Substitutions in position 3._||_Abstract: cyclo[d-Asp(2),Dap(5)]Dyn A-(1-13)NH(2) (Dap, 2,3-diaminopropionic acid; Dyn A, dynorphin A), synthesized previously in our laboratory, showed sub-nanomolar affinity for kappa opioid receptors and potent agonist activity in the guinea pig ileum assay (Arttamangkul et al., J. Med. Chem. 1995, 38, 2410-2417). Various modifications were made in position 3 of cyclo[d-Asp(2),Dap(5)]Dyn A-(1-11)NH(2) that could influence the opioid receptor affinity, selectivity, and/or efficacy of this peptide. An optimized orthogonal synthetic strategy was developed for the synthesis of these cyclic peptides in which the final peptides could be cleaved from the solid support with trifluoroacetic acid. Substitutions of Gly(3) by Ala, d-Ala, Trp, and d-Trp in cyclo[d-Asp(2),Dap(5)]Dyn A-(1-11)NH(2) and its linear counterpart [d-Asp(2),Dap(5)]Dyn A-(1-11)NH(2) were generally well tolerated by both kappa and micro opioid receptors. Despite differences in the size and stereochemistry of the substitutions, most of the peptides (except for cyclo[d-Asp(2),Pro(3),Dap(5)]Dyn A-(1-11)NH(2) and [d-Asp(2),d-Ala(3), Dap(5)]Dyn A-(1-11)NH(2)) exhibited low nanomolar affinity for both kappa (K(i) = 0.21 to 2.2 nM) and micro (K(i) = 0.22 to 7.27 nM) opioid receptors. All of the 3-substituted cyclic and linear analogues synthesized showed reduced affinity for delta opioid receptors. Incorporation of d-Ala at position 3 of cyclo[d-Asp(2),Dap(5)]Dyn A-(1-11)NH(2) exhibited 2-fold higher kappa opioid receptor affinity and 16-fold higher selectivity for kappa over micro opioid receptors than the parent cyclic peptide. In contrast, substitution of Ala at position 3 resulted in an analogue with 2.4-fold lower affinity and very low preference for kappa over micro opioid receptors. The Trp and d-Trp cyclic and linear analogues exhibited similar nanomolar affinities for kappa opioid receptors. cyclo[d-Asp(2),Pro(3),Dap(5)]Dyn A-(1-11)NH(2) showed the largest decreases in affinity for all three opioid receptors compared to the parent cyclic peptide. Except for cyclo[d-Asp(2), Pro(3),Dap(5)]Dyn A-(1-11)NH(2), which was a partial agonist, all of the cyclic peptides exhibited full agonist activity in the adenylyl cyclase assay using cloned kappa opioid receptors.",43,ChEMBL,CHEMBL848379,20181017,25079117,103380384,4985|4986|4988,,P35372|P41143|P41145,Curation Efforts|Research and Development,14711314,0,,P35372|P41143|P41145,,,,,1,0,1,0,0,0
