,aid,aidtype,aidname,aiddesc,aidsrcid,aidsrcname,aidextid,aidmdate,cids,sids,geneids,aidcategories,protacxns,depcatg,pmids,rnai,ecs,repacxns,taxids,cellids,targettaxid,annotation,partial_agonist_desc,partial_agonist_aidname,agonist_desc,agonist_aidname,antagonist_desc,antagonist_aidname
1,31734,Confirmatory,Displacement of [3H]AMPA from AMPA receptor,Displacement of [3H]AMPA from AMPA receptor,43,ChEMBL,CHEMBL644195,20180909,3272524|5486548|9985663|10051732|10247474|10437436|21710164|21710166|22097086|22097088|22097105|22097119|22097148|22097151|22097158|22097165|22097178|22097186|22097194|22097211|22100063|22100072|22100104|22100119|22100133|22100152|22100157|44268202|44268209|44268224|44268242|44268310|44268318|44268353|44268357|44268369,103173748|103173782|103173783|103173843|103173875|103173876|103173915|103173948|103173957|103173973|103173981|103173990|103174011|103174018|103174023|103174051|103174105|103174115|103174134|103174139|103174147|103174174|103174196|103174204|103174210|103174221|103174224|103174237|103174242|103174249|103174265|103174351|103174361|103174388|103174395|103509729,2890|2891|2892|2893,,P42261|P42262|P42263|P48058,Curation Efforts|Research and Development,,0,,P42261|P42262|P42263|P48058,,,,,0,0,0,0,0,0
5,92800,Confirmatory,Compound was evaluated to potentiate response of AMPA-activated current in Xenopus oocytes expressing Ionotropic glutamate receptor AMPA,Compound was evaluated to potentiate response of AMPA-activated current in Xenopus oocytes expressing Ionotropic glutamate receptor AMPA,43,ChEMBL,CHEMBL702515,20180908,637863,103319767,2890|2891|2892|2893,,P42261|P42262|P42263|P48058,Curation Efforts|Research and Development,,0,,P42261|P42262|P42263|P48058,,129148.0,,,0,0,0,0,0,0
7,92804,Literature-derived,Compound was evaluated for its binding affinity towards Ionotropic glutamate receptor AMPA in presence of [3H]- AMPA; NT means not tested,Compound was evaluated for its binding affinity towards Ionotropic glutamate receptor AMPA in presence of [3H]- AMPA; NT means not tested,43,ChEMBL,CHEMBL702519,20180908,44377497,103417755,2890|2891|2892|2893,,P42261|P42262|P42263|P48058,Curation Efforts|Research and Development,,0,,P42261|P42262|P42263|P48058,,,,,0,0,0,0,0,0
34,391458,Confirmatory,Antagonist activity at human flip iGluR1 expressed in CHO-K1 cells by whole cell patch-clamp method,"Title: 1H-cyclopentapyrimidine-2,4(1H,3H)-dione-related ionotropic glutamate receptors ligands. structure-activity relationships and identification of potent and Selective iGluR5 modulators._||_Abstract: (S)-CPW399 ((S)-1) is a potent and excitotoxic AMPA receptor partial agonist. Modifying the cyclopentane ring of (S)-1, we developed two of the most potent and selective functional antagonists (5 and 7) for kainate receptor (KA-R) subunit iGluR5. Derivatives 5 and 7, with their unique pharmacological profile, may lead to a better understanding of the different roles and modes of action of iGluR1-5 subunits, paving the way for the synthesis of new potent, subunit selective iGluR5 modulators.",43,ChEMBL,CHEMBL1029773,20181026,24850230,103604627,2890,,P42261,Curation Efforts|Research and Development,18811139,0,,P42261,9606.0,198.0,,,1,0,1,1,1,1
35,477110,Literature-derived,Activity at recombinant GluA1 receptor flip isoform expressed in Xenopus oocytes assessed as potentiation of glutamate-induced current at 100 uM relative to control,"Title: Developing a complete pharmacology for AMPA receptors: a perspective on subtype-selective ligands._||_Abstract: AMPA receptors are a family of ligand-gated ion channels that play central roles in rapid neural signaling and in regulation of synaptic strength. Additionally, these receptors are implicated in a number of major psychiatric and neurological diseases. A comprehensive understanding of the roles that AMPA receptors play in the mammalian nervous system has been hampered by the dearth of ligands available to select between individual AMPA receptors subtypes. Here we provide a perspective on opportunities for developing a complete pharmacology for AMPA receptors.",43,ChEMBL,CHEMBL1105494,20200702,2910,103249003,2890,,P42261,Curation Efforts|Research and Development,20096591,0,,P42261,,129148.0,,,0,0,0,0,0,0
40,477238,Literature-derived,Activity at recombinant GluA1A2 receptor flop isoform expressed in Xenopus oocytes assessed as potentiation of glutamate-induced current at 100 uM relative to control,"Title: Developing a complete pharmacology for AMPA receptors: a perspective on subtype-selective ligands._||_Abstract: AMPA receptors are a family of ligand-gated ion channels that play central roles in rapid neural signaling and in regulation of synaptic strength. Additionally, these receptors are implicated in a number of major psychiatric and neurological diseases. A comprehensive understanding of the roles that AMPA receptors play in the mammalian nervous system has been hampered by the dearth of ligands available to select between individual AMPA receptors subtypes. Here we provide a perspective on opportunities for developing a complete pharmacology for AMPA receptors.",43,ChEMBL,CHEMBL1107329,20200702,2910,103249003,2890|2891,,P42261|P42262,Curation Efforts|Research and Development,20096591,0,,P42261|P42262,,129148.0,,,0,0,0,0,0,0
41,477240,Confirmatory,Activity at recombinant GluA1A2 receptor flip isoform expressed in Xenopus oocytes assessed as effect on 300 uM glutamate-induced current,"Title: Developing a complete pharmacology for AMPA receptors: a perspective on subtype-selective ligands._||_Abstract: AMPA receptors are a family of ligand-gated ion channels that play central roles in rapid neural signaling and in regulation of synaptic strength. Additionally, these receptors are implicated in a number of major psychiatric and neurological diseases. A comprehensive understanding of the roles that AMPA receptors play in the mammalian nervous system has been hampered by the dearth of ligands available to select between individual AMPA receptors subtypes. Here we provide a perspective on opportunities for developing a complete pharmacology for AMPA receptors.",43,ChEMBL,CHEMBL1107331,20200702,2910,103249003,2890|2891,,P42261|P42262,Curation Efforts|Research and Development,20096591,0,,P42261|P42262,,129148.0,,,0,0,0,0,0,0
42,477244,Literature-derived,Activity at recombinant GluA1A2 receptor flop isoform expressed in Xenopus oocytes assessed as potentiation of glutamate-induced current at 5 mM relative to control,"Title: Developing a complete pharmacology for AMPA receptors: a perspective on subtype-selective ligands._||_Abstract: AMPA receptors are a family of ligand-gated ion channels that play central roles in rapid neural signaling and in regulation of synaptic strength. Additionally, these receptors are implicated in a number of major psychiatric and neurological diseases. A comprehensive understanding of the roles that AMPA receptors play in the mammalian nervous system has been hampered by the dearth of ligands available to select between individual AMPA receptors subtypes. Here we provide a perspective on opportunities for developing a complete pharmacology for AMPA receptors.",43,ChEMBL,CHEMBL1107335,20200702,2196,103212991,2890|2891,,P42261|P42262,Curation Efforts|Research and Development,20096591,0,,P42261|P42262,,129148.0,,,0,0,0,0,0,0
43,477262,Confirmatory,Activity at recombinant GluA1 receptor flip isoform expressed in Xenopus oocytes co-expressing gamma2-TARP assessed as effect on glutamate/trichloromethiazide-induced current,"Title: Developing a complete pharmacology for AMPA receptors: a perspective on subtype-selective ligands._||_Abstract: AMPA receptors are a family of ligand-gated ion channels that play central roles in rapid neural signaling and in regulation of synaptic strength. Additionally, these receptors are implicated in a number of major psychiatric and neurological diseases. A comprehensive understanding of the roles that AMPA receptors play in the mammalian nervous system has been hampered by the dearth of ligands available to select between individual AMPA receptors subtypes. Here we provide a perspective on opportunities for developing a complete pharmacology for AMPA receptors.",43,ChEMBL,CHEMBL1108136,20180913,126758,103167585,2890,,P42261,Curation Efforts|Research and Development,20096591,0,,P42261,,129148.0,,,0,0,0,0,0,0
44,477264,Confirmatory,Inhibition of recombinant GluA1 receptor flop isoform expressed in Xenopus oocytes assessed as inhibition of 300 uM kainate-induced current by patch clamp electrophysiological assay,"Title: Developing a complete pharmacology for AMPA receptors: a perspective on subtype-selective ligands._||_Abstract: AMPA receptors are a family of ligand-gated ion channels that play central roles in rapid neural signaling and in regulation of synaptic strength. Additionally, these receptors are implicated in a number of major psychiatric and neurological diseases. A comprehensive understanding of the roles that AMPA receptors play in the mammalian nervous system has been hampered by the dearth of ligands available to select between individual AMPA receptors subtypes. Here we provide a perspective on opportunities for developing a complete pharmacology for AMPA receptors.",43,ChEMBL,CHEMBL1108138,20180913,119582,103298881,2890,,P42261,Curation Efforts|Research and Development,20096591,0,,P42261,,129148.0,,,0,0,0,0,0,0
45,477266,Literature-derived,Inhibition of recombinant GluA1 receptor flop isoform expressed in Xenopus oocytes assessed as inhibition of 300 uM kainate-induced current at 0.5 uM by patch clamp electrophysiological assay,"Title: Developing a complete pharmacology for AMPA receptors: a perspective on subtype-selective ligands._||_Abstract: AMPA receptors are a family of ligand-gated ion channels that play central roles in rapid neural signaling and in regulation of synaptic strength. Additionally, these receptors are implicated in a number of major psychiatric and neurological diseases. A comprehensive understanding of the roles that AMPA receptors play in the mammalian nervous system has been hampered by the dearth of ligands available to select between individual AMPA receptors subtypes. Here we provide a perspective on opportunities for developing a complete pharmacology for AMPA receptors.",43,ChEMBL,CHEMBL1108140,20180913,119582,103298881,2890,,P42261,Curation Efforts|Research and Development,20096591,0,,P42261,,129148.0,,,0,0,0,0,0,0
