,aid,aidtype,aidname,aiddesc,aidsrcid,aidsrcname,aidextid,aidmdate,cids,sids,geneids,aidcategories,protacxns,depcatg,pmids,rnai,ecs,repacxns,taxids,cellids,targettaxid,annotation,partial_agonist_desc,partial_agonist_aidname,agonist_desc,agonist_aidname,antagonist_desc,antagonist_aidname
2,143102,Confirmatory,Tested for the affinity to the glycine site -NMDA receptor using [3H]Gly as radioligand.,Tested for the affinity to the glycine site -NMDA receptor using [3H]Gly as radioligand.,43,ChEMBL,CHEMBL749508,20180908,1779|3018579|3272524|3899541|44348419|44379376,103235715|103353271|103365688|103402891|103422068|103509729,2902|2903|2904|2905|2906|116443|116444,,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,Curation Efforts|Research and Development,,0,,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,,,,,0,0,0,0,0,0
3,143214,Confirmatory,Tested for the inhibitory activity by the inhibition of excitatory L-[3H]Glutamate binding to NMDA recognition sites,Tested for the inhibitory activity by the inhibition of excitatory L-[3H]Glutamate binding to NMDA recognition sites,43,ChEMBL,CHEMBL748198,20180908,108099|3072821|5950212|6603754|9838551|44338473|44338533,103200249|103228682|103330122|103330231|103330232|103330258|103330327,2902|2903|2904|2905|2906|116443|116444,,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,Curation Efforts|Research and Development,,0,,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,,,,,0,0,0,0,0,0
4,143215,Confirmatory,"Tested for the inhibitory activity by the inhibition of excitatory [3H]CGS-19,755 binding to NMDA recognition sites","Tested for the inhibitory activity by the inhibition of excitatory [3H]CGS-19,755 binding to NMDA recognition sites",43,ChEMBL,CHEMBL748786,20180908,108099|3072821|5950212|6603754|9838551|44338473|44338533,103200249|103228682|103330122|103330231|103330232|103330258|103330327,2902|2903|2904|2905|2906|116443|116444,,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,Curation Efforts|Research and Development,,0,,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,,,,,0,0,0,0,0,0
5,143216,Confirmatory,"Tested in vitro for the affinity against NMDA receptor by examining its ability to inhibit [3H]-CGS-19,755 binding","Tested in vitro for the affinity against NMDA receptor by examining its ability to inhibit [3H]-CGS-19,755 binding",43,ChEMBL,CHEMBL748787,20180908,1228|68736|135342|1617430|3035974|3246533|14877965|14877967|44362569|44362599|44362600|44362879|44362880|44362916|45262359|45262360|45265283,103191294|103213975|103264645|103385932|103385985|103385986|103386393|103386493|103386500|103386526|103386527|103386615|103432753|103673948|103673950|103678447|131271776,2902|2903|2904|2905|2906|116443|116444,In vitro,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,Curation Efforts|Research and Development,,0,,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,,,,,0,0,0,0,0,0
6,143217,Confirmatory,Tested in vitro for the affinity against NMDA receptor in a cortical wedge assay,Tested in vitro for the affinity against NMDA receptor in a cortical wedge assay,43,ChEMBL,CHEMBL748788,20180908,1228|68736|135342|1617430|3035974|3246533|14877965|14877967|44362599|44362600|44362879|44362880|45262360,103191294|103213975|103264645|103385985|103385986|103386393|103386493|103386500|103386526|103386527|103432753|103673950|131271776,2902|2903|2904|2905|2906|116443|116444,In vitro,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,Curation Efforts|Research and Development,,0,,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,,,,,0,0,0,0,0,0
8,143219,Literature-derived,Tested in vitro for the affinity against NMDA receptor in a cortical wedge assay; A- compound acts as antagonist,Tested in vitro for the affinity against NMDA receptor in a cortical wedge assay; A- compound acts as antagonist,43,ChEMBL,CHEMBL748790,20180908,45262359|45265283,103673948|103678447,2902|2903|2904|2905|2906|116443|116444,In vitro,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,Curation Efforts|Research and Development,,0,,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,,,,,0,0,1,1,1,1
9,143220,Confirmatory,Compound was evaluated for in vitro inhibition of cortical neurone at NMDA receptor.,Title: The glycine site on the NMDA receptor: structure-activity relationships and therapeutic potential.,43,ChEMBL,CHEMBL750512,20181014,5486198,103221245,2902|2903|2904|2905|2906|116443|116444,In vitro,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,Curation Efforts|Research and Development,7990104.0,0,,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,,,,,0,0,0,0,0,0
10,143221,Confirmatory,Compound was evaluated to potentiate response to NMDA receptor,Compound was evaluated to potentiate response to NMDA receptor,43,ChEMBL,CHEMBL750513,20180908,637863,103319767,2902|2903|2904|2905|2906|116443|116444,,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,Curation Efforts|Research and Development,,0,,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,,,,,0,0,0,0,0,0
21,143453,Confirmatory,In vitro displacement of [3H]MK-801 from N-methyl-D-aspartate glutamate receptor,"Title: Identification and characterization of a potential ischemia-selective N-methyl-D-aspartate (NMDA) receptor ion-channel blocker, CNS 5788._||_Abstract: The identification and characterization of a potentially ischemia-selective and orally-active sulfoxide based NMDA ion-channel blocker showing good neuroprotective activity, (R)-(+)-N-(2-chloro-5-methylthiophenyl)-N'-(3-methylsulfinylphenyl)-N'-methylguanidine (CNS 5788), is described.",43,ChEMBL,CHEMBL751685,20180930,192711|9842186|44364816|45265608,103218962|103391527|103391980|103678897,2902|2903|2904|2905|2906|116443|116444,In vitro,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,Curation Efforts|Research and Development,11229757.0,0,,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,,,,,0,0,0,0,0,0
28,143908,Literature-derived,Binding affinity against dextromethorpin binding site associated with N-methyl-D-aspartate glutamate receptor from guinea pig mitochondrial pellet P2 determined using [3H]1 as radioligand.;NA = No effect,"Title: Synthesis and evaluation of 3-substituted 17-methylmorphinan analogs as potential anticonvulsant agents._||_Abstract: Dextromethorphan (1,(+)-3-methoxy-17-methylmorphinan) demonstrates anticonvulsant activity in a variety of in vitro and in vivo models of convulsive action. It is well known that 1 is metabolized to its phenolic derivative dextrorphan (2) and this metabolite is also a potent anticonvulsant. A series of (+)-3-substituted-17-methylmorphinans, which are structurally similar to 1 but are either not expected to be metabolized to 2 or might do so at a reduced rate, as compared to 1, were prepared. Three analogs, 5 ((+)-3-amino-17-methylmorphinan), 14 ((+)-3-ethoxy-17-methylmorphinan), and 15 ((+)-3-(2-propoxy)-17-methylmorphinan) were found to possess potent anticonvulsant activity with full efficacy (ED50 25, 5.6, and 3.9 mg/kg, sc, respectively) in the rat supramaximal electroshock (MES) test. Binding potencies of these compounds to receptor sites labeled with [3H]dextromethorphan ([3H]1), in rat brain and guinea pig brain subcellular fractions, and [3H]thienylcyclohexylpiperidine (TCP) and [3H]glycine in rat brain, were determined. Most of the analogs displaced [3H]1 from its binding sites, with compounds 14 (IC50 0.42 microM) and 15 (IC50 0.88 microM) having equivalent potencies to 1 (IC50 0.59 microM), in rat brain, and no appreciable activity at the [3H]TCP or [3H]glycine-labeled sites. Compound 5 did not bind with appreciable activity to the [3H]1 site, in rat brain, but did bind to the [3H]TCP site with lower potency than the parent 1 (IC50 7.8 and 2.0 microM, respectively). The mechanism of anticonvulsant action of these agents is not clear although it appears that interaction at the [3H]1 sites may be involved.",43,ChEMBL,CHEMBL749667,20181013,44354041,103367733,2902|2903|2904|2905|2906|116443|116444,,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,Curation Efforts|Research and Development,1433216.0,0,,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,10141.0,,,,0,0,0,0,0,0
