,aid,aidtype,aidname,aiddesc,aidsrcid,aidsrcname,aidextid,aidmdate,cids,sids,geneids,aidcategories,protacxns,depcatg,pmids,rnai,ecs,repacxns,taxids,cellids,targettaxid,annotation,partial_agonist
580,621021,Confirmatory,Partial agonist activity at human MOP receptor expressed in CHO cells assessed as stimulation of [35S]GTPgammaS binding after 60 mins by scintillation counting,"Title: Structural determinants of opioid and NOP receptor activity in derivatives of buprenorphine._||_Abstract: The unique pharmacological profile of buprenorphine has led to its considerable success as an analgesic and as a treatment agent for drug abuse. Activation of nociceptin/orphanin FQ peptide (NOP) receptors has been postulated to account for certain aspects of buprenorphine's behavioral profile. In order to investigate the role of NOP activation further, a series of buprenorphine analogues has been synthesized with the aim of increasing affinity for the NOP receptor. Binding and functional assay data on these new compounds indicate that the area around C20 in the orvinols is key to NOP receptor activity, with several compounds displaying higher affinity than buprenorphine. One compound, 1b, was found to be a mu opioid receptor partial agonist of comparable efficacy to buprenorphine but with higher efficacy at NOP receptors.",43,ChEMBL,CHEMBL1838554,20180919,5462471|9848990|54756989|56658044|56664973,103217856|134434452|134442153|134442154|175265278,4988,,P35372,Curation Efforts|Research and Development,21866885,0,,P35372,9606,197.0,,,1
581,621025,Literature-derived,Partial agonist activity at human MOP receptor expressed in CHO cells assessed as maximal stimulation of [35S]GTPgammaS binding after 60 mins by scintillation counting relative to DAMGO,"Title: Structural determinants of opioid and NOP receptor activity in derivatives of buprenorphine._||_Abstract: The unique pharmacological profile of buprenorphine has led to its considerable success as an analgesic and as a treatment agent for drug abuse. Activation of nociceptin/orphanin FQ peptide (NOP) receptors has been postulated to account for certain aspects of buprenorphine's behavioral profile. In order to investigate the role of NOP activation further, a series of buprenorphine analogues has been synthesized with the aim of increasing affinity for the NOP receptor. Binding and functional assay data on these new compounds indicate that the area around C20 in the orvinols is key to NOP receptor activity, with several compounds displaying higher affinity than buprenorphine. One compound, 1b, was found to be a mu opioid receptor partial agonist of comparable efficacy to buprenorphine but with higher efficacy at NOP receptors.",43,ChEMBL,CHEMBL1838558,20180919,5462471|9848990|54756989|54756990|56658044|56661555|56664973|56668405|56681954|56681955,103217856|134434452|134438317|134442153|134442154|134445998|134457609|134461397|134461398|175265278,4988,,P35372,Curation Efforts|Research and Development,21866885,0,,P35372,9606,197.0,,,1
620,707249,Confirmatory,Partial agonist activity at human MOR expressed in HEK293 cells assessed as inhibition of forskolin-induced cAMP accumulation after 15 mins by cAMP EIA,"Title: Opioid activity profiles of oversimplified peptides lacking in the protonable N-terminus._||_Abstract: Recently, we described cyclopeptide opioid agonists containing the d-Trp-Phe sequence. To expand the scope of this atypical pharmacophore, we tested the activity profiles of the linear peptides Ac-Xaa-Phe-Yaa (Xaa = l/d-Trp, d-His/Lys/Arg; Yaa = H, GlyNH(2)). Ac-d-Trp-PheNH(2) appeared to be the minimal binding sequence, while Ac-d-Trp-Phe-GlyNH(2) emerged as the first noncationizable short peptide (partial) agonist with high μ-opioid receptor affinity and selectivity. Conformational analysis suggested that 5 adopts in solution a β-turn conformation.",43,ChEMBL,CHEMBL2183868,20200625,71457210,163328287,4988,,P35372,Curation Efforts|Research and Development,22995061,0,,P35372,9606,45.0,,,1
634,719297,Literature-derived,Partial agonist activity at human mu opioid receptor expressed in CHO cells assessed as [35S]GTPgammaS binding after 60 mins by scintillation counting relative to untreated-control,"Title: Redefining the structure-activity relationships of 2,6-methano-3-benzazocines. Part 8. High affinity ligands for opioid receptors in the picomolar Ki range: oxygenated N-(2-[1,1'-biphenyl]-4-ylethyl) analogues of 8-CAC._||_Abstract: N-[2-(4'-methoxy[1,1'-biphenyl]-4-yl)ethyl]-8-CAC (1) is a high affinity (K(i)=0.084 nM) ligand for the μ opioid receptor and served as the lead compound for this study. Analogues of 1 were made in hopes of identifying an SAR within a series of oxygenated (distal) phenyl derivatives. A number of new analogues were made having single-digit pM affinity for the μ receptor. The most potent was the 3',4'-methylenedioxy analogue 18 (K(i)=1.6 pM).",43,ChEMBL,CHEMBL2213831,20200625,24873473|58443192|58443217|58443234|71454361|71454362|71456106,163315590|163322529|163322530|163325912|163329343|163339747|163339749,4988,,P35372,Curation Efforts|Research and Development,23142613,0,,P35372,9606,197.0,,,1
646,739875,Literature-derived,Partial agonist activity at human mu opioid receptor expressed in CHO cell membrane assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding after 60 mins by liquid scintillation counting relative to control,"Title: Redefining the structure-activity relationships of 2,6-methano-3-benzazocines. Part 9: Synthesis, characterization and molecular modeling of pyridinyl isosteres of N-BPE-8-CAC (1), a high affinity ligand for opioid receptors._||_Abstract: Derivatives of the lead compound N-BPE-8-CAC (1) where each CH of the biphenyl group was individually replaced by N were prepared in hopes of identifying high affinity ligands with improved aqueous solubility. Compared to 1, binding affinities of the five possible pyridinyl derivatives for the μ opioid receptor were between threefold lower to fivefold higher with the Ki of the most potent compound being 0.064 nM. Docking of 8-CAC (2) into the unliganded binding site of the mouse μ opioid receptor (pdb: 4DKL) revealed that 8-CAC and β-FNA (from 4DKL) make nearly identical interactions with the receptor. However, for 1 and the new pyridinyl derivatives 4-8, binding is not tolerated in the 8-CAC binding mode due to the steric constraints of the large N-substituents. Either an alternative binding mode or rearrangement of the protein to accommodate these modifications may account for their high binding affinity.",43,ChEMBL,CHEMBL2353036,20200626,10086063|44240971|44240972|44241022|57900041|57900045,103245326|164130025|164132872|164132873|164132874|164146846,4988,,P35372,Curation Efforts|Research and Development,23434225,0,,P35372,9606,197.0,,,1
647,739877,Literature-derived,Partial agonist activity at human mu opioid receptor expressed in CHO cell membrane assessed as stimulation of [35S]GTPgammaS binding after 60 mins by liquid scintillation counting relative to control,"Title: Redefining the structure-activity relationships of 2,6-methano-3-benzazocines. Part 9: Synthesis, characterization and molecular modeling of pyridinyl isosteres of N-BPE-8-CAC (1), a high affinity ligand for opioid receptors._||_Abstract: Derivatives of the lead compound N-BPE-8-CAC (1) where each CH of the biphenyl group was individually replaced by N were prepared in hopes of identifying high affinity ligands with improved aqueous solubility. Compared to 1, binding affinities of the five possible pyridinyl derivatives for the μ opioid receptor were between threefold lower to fivefold higher with the Ki of the most potent compound being 0.064 nM. Docking of 8-CAC (2) into the unliganded binding site of the mouse μ opioid receptor (pdb: 4DKL) revealed that 8-CAC and β-FNA (from 4DKL) make nearly identical interactions with the receptor. However, for 1 and the new pyridinyl derivatives 4-8, binding is not tolerated in the 8-CAC binding mode due to the steric constraints of the large N-substituents. Either an alternative binding mode or rearrangement of the protein to accommodate these modifications may account for their high binding affinity.",43,ChEMBL,CHEMBL2353038,20200626,10086063|44240971|44240972|44241022|57900041|57900045,103245326|164130025|164132872|164132873|164132874|164146846,4988,,P35372,Curation Efforts|Research and Development,23434225,0,,P35372,9606,197.0,,,1
655,749685,Literature-derived,Partial agonist activity at human recombinant mu opioid receptor expressed in CHO cell membranes assessed as stimulation of [35S]GTPgammaS binding after 3 hrs by liquid scintillation counting analysis relative to DAMGO,"Title: Probes for narcotic receptor mediated phenomena. 47. Novel C4a- and N-substituted-1,2,3,4,4a,9a-hexahydrobenzofuro[2,3-c]pyridin-6-ols._||_Abstract: A series of N-methyl rac-cis-4a-aralkyl- and alkyl-substituted-1,2,3,4,4a,9a-hexahydrobenzofuro[2,3-c]pyridin-6-ols have been prepared (2a-l) using a simple previously designed synthetic route, in order to find a ligand that would interact with both μ- and δ-opioid receptors. A C4a-phenethyl derivative 2a, was found to have modest receptor affinity both at μ- (K(i)=60 nM) and δ-opioid receptors (K(i)=64 nM). The N-methyl substituent of 2a and that of other ligands in the series was then modified to obtain compounds with different N-substituents that might provide higher affinity at both receptors. A number of compounds differently substituted at C4a and N were synthesized and evaluated. Binding studies and functional assays revealed a moderately selective δ-antagonist (2l), selective μ-δ antagonists (3d, 3g), and a μ-κ antagonist (3f).",43,ChEMBL,CHEMBL2390772,20200629,71660087|71660125|71660126|71660127,174491200|174501487|174511841|174522082,4988,,P35372,Curation Efforts|Research and Development,23618710,0,,P35372,9606,197.0,,,1
785,1274763,Confirmatory,Partial agonist activity at mu opioid receptor (unknown origin) expressed in CHO cell membrane assessed as stimulation of [35S]GTP-gamma-S binding,"Title: Multitarget opioid ligands in pain relief: New players in an old game._||_Abstract: Still nowadays pain is one of the most common disabling conditions and yet it remains too often unsolved. Analgesic opioid drugs, and mainly MOR agonists such as morphine, are broadly employed for pain management. MOR activation, however, has been seen to cause not only analgesia but also undesired side effects. A potential pain treatment option is represented by the simultaneous targeting of different opioid receptors. In fact, ligands possessing multitarget capabilities led to an improved pharmacological fingerprint. This review focuses on the examination of multitarget opioid ligands which have been distinguished in peptide and non-peptide and further listed as bivalent and bifunctional ligands. Moreover, the potential of these compounds, both as analgesic drugs and pharmacological tools to explore heteromer receptors, has been stressed.",43,ChEMBL,CHEMBL3760684,20180905,127025817,336866568,4988,,P35372,Curation Efforts|Research and Development,26656913,0,,P35372,9606,197.0,,,1
937,1609991,Confirmatory,Partial agonist activity at mu opioid receptor (unknown origin) expressed in CHO cells by [35S]-GTPgammaS binding assay,"Title: Progress in the development of more effective and safer analgesics for pain management._||_Abstract: Opioid analgesics have been used for thousands of years in the treatment of pain and related disorders, and have become among the most widely prescribed medications. Among opioid analgesics, mu opioid receptor (MOR) agonists are the most commonly used and are indicated for acute and chronic pain management. However, their use results in a plethora of well-described side-effects. From selective delta opioid receptor (DOR) and kappa opioid receptor (KOR) agonists to multitarget MOR/DOR and MOR/KOR ligands, medicinal chemistry provided different approaches aimed at the development of opioid analgesics with an improved pharmacological and tolerability fingerprint. The emergent medicinal chemistry strategy to develop ameliorated opioid analgesics is based upon the concept that functional selectivity for G-protein signalling is necessary for the therapeutic effect, whether β-arrestin recruitment is mainly responsible for the manifestation of side effects, including the development of tolerance after repeated administrations. This review summarises most relevant biased MOR, DOR, KOR and multitarget MOR/DOR ligands synthesised in the last decade and their pharmacological profile in 'in vitro' and 'in vivo' studies. Such biased ligands could have a significant impact on modern drug discovery and represent a new strategy for the development of better-tolerated drug candidates.",43,ChEMBL,CHEMBL4409316,20210302,457967,440163017,4988,,P35372,Curation Efforts|Research and Development,31550662,0,,P35372,9606,197.0,,,1
1006,148348,Confirmatory,The partial agonist activity tested in [35S]-GTP-gamma S Recombinant Human Opioid receptor mu 1 transfected in to CHO cells for the displacement of [3H]-DAMGO (mu),Title: 4'-Arylpyrrolomorphinans: effect of a pyrrolo-N-benzyl substituent in enhancing delta-opioid antagonist activity._||_Abstract: A new method for the preparation of N-benzylpyrrolomorphinans has been developed. Thus Michael reaction of the benzylimines of oxycodones and oxymorphones with nitrostyrenes gave a series of 4'-aryl-N-benzylpyrrolomorphinans. These were selective delta antagonists of much higher in vitro potency (with 5a having K(e) delta = <1 nM) than their binding affinities predicted. In mice in vivo assays 5a showed good delta antagonist activity in the anti-writhing analgesic assay and also inhibited delta agonist-induced convulsant activity.,43,ChEMBL,CHEMBL884514,20181017,44367028,103397107,4988,,P35372,Curation Efforts|Research and Development,11784158,0,,P35372,,197.0,,,1
