protacxn,geneid,genesymbol,cid,drugtype,drugname,druggroup,drugaction,drugdetail,targettype,targetid,targetname,targetcomponent,targetcomponentname,generalfunc,specificfunc,pmids,cmpdname,dois
   P35372,4988,OPRM1,33741,small molecule,Tramadol,approved; investigational,agonist,DB00193,target,BE0000770,Mu-type opioid receptor,P35372,Mu-type opioid receptor,Voltage-gated calcium channel activity,"Receptor for endogenous opioids such as beta-endorphin and endomorphin. Receptor for natural and synthetic opioids including morphine, heroin, DAMGO, fentanyl, etorphine, buprenorphin and methadone. Agonist binding to the receptor induces coupling to an inactive GDP-bound heterotrimeric G-protein complex and subsequent exchange of GDP for GTP in the G-protein alpha subunit leading to dissociation of the G-protein complex with the free GTP-bound G-protein alpha and the G-protein beta-gamma dimer activating downstream cellular effectors. The agonist- and cell type-specific activity is predominantly coupled to pertussis toxin-sensitive G(i) and G(o) G alpha proteins, GNAI1, GNAI2, GNAI3 and GNAO1 isoforms Alpha-1 and Alpha-2, and to a lesser extend to pertussis toxin-insensitive G alpha proteins GNAZ and GNA15. They mediate an array of downstream cellular responses, including inhibition of adenylate cyclase activity and both N-type and L-type calcium channels, activation of inward rectifying potassium channels, mitogen-activated protein kinase (MAPK), phospholipase C (PLC), phosphoinositide/protein kinase (PKC), phosphoinositide 3-kinase (PI3K) and regulation of NF-kappa-B. Also couples to adenylate cyclase stimulatory G alpha proteins. The selective temporal coupling to G-proteins and subsequent signaling can be regulated by RGSZ proteins, such as RGS9, RGS17 and RGS4. Phosphorylation by members of the GPRK subfamily of Ser/Thr protein kinases and association with beta-arrestins is involved in short-term receptor desensitization. Beta-arrestins associate with the GPRK-phosphorylated receptor and uncouple it from the G-protein thus terminating signal transduction. The phosphorylated receptor is internalized through endocytosis via clathrin-coated pits which involves beta-arrestins. The activation of the ERK pathway occurs either in a G-protein-dependent or a beta-arrestin-dependent manner and is regulated by agonist-specific receptor phosphorylation. Acts as a class A G-protein coupled receptor (GPCR) which dissociates from beta-arrestin at or near the plasma membrane and undergoes rapid recycling. Receptor down-regulation pathways are varying with the agonist and occur dependent or independent of G-protein coupling. Endogenous ligands induce rapid desensitization, endocytosis and recycling whereas morphine induces only low desensitization and endocytosis. Heterooligomerization with other GPCRs can modulate agonist binding, signaling and trafficking properties. Involved in neurogenesis. Isoform 12 couples to GNAS and is proposed to be involved in excitatory effects. Isoform 16 and isoform 17 do not bind agonists but may act through oligomerization with binding-competent OPRM1 isoforms and reduce their ligand binding activity.",10961373|10991912|1309873|15509185|16793069|11752352|17380034|8955860|31004280,Tramadol,10.1007/s002100000266|10.1038/sj.bjp.0703562||10.2165/00003088-200443130-00004|10.1016/j.neuropharm.2006.05.008|10.1093/nar/30.1.412|10.1254/jphs.cr0060032||10.1007/s40263-019-00623-5
P35372,4988,OPRM1,5288826,small molecule,Morphine,approved; investigational,agonist,DB00295,target,BE0000770,Mu-type opioid receptor,P35372,Mu-type opioid receptor,Voltage-gated calcium channel activity,"Receptor for endogenous opioids such as beta-endorphin and endomorphin. Receptor for natural and synthetic opioids including morphine, heroin, DAMGO, fentanyl, etorphine, buprenorphin and methadone. Agonist binding to the receptor induces coupling to an inactive GDP-bound heterotrimeric G-protein complex and subsequent exchange of GDP for GTP in the G-protein alpha subunit leading to dissociation of the G-protein complex with the free GTP-bound G-protein alpha and the G-protein beta-gamma dimer activating downstream cellular effectors. The agonist- and cell type-specific activity is predominantly coupled to pertussis toxin-sensitive G(i) and G(o) G alpha proteins, GNAI1, GNAI2, GNAI3 and GNAO1 isoforms Alpha-1 and Alpha-2, and to a lesser extend to pertussis toxin-insensitive G alpha proteins GNAZ and GNA15. They mediate an array of downstream cellular responses, including inhibition of adenylate cyclase activity and both N-type and L-type calcium channels, activation of inward rectifying potassium channels, mitogen-activated protein kinase (MAPK), phospholipase C (PLC), phosphoinositide/protein kinase (PKC), phosphoinositide 3-kinase (PI3K) and regulation of NF-kappa-B. Also couples to adenylate cyclase stimulatory G alpha proteins. The selective temporal coupling to G-proteins and subsequent signaling can be regulated by RGSZ proteins, such as RGS9, RGS17 and RGS4. Phosphorylation by members of the GPRK subfamily of Ser/Thr protein kinases and association with beta-arrestins is involved in short-term receptor desensitization. Beta-arrestins associate with the GPRK-phosphorylated receptor and uncouple it from the G-protein thus terminating signal transduction. The phosphorylated receptor is internalized through endocytosis via clathrin-coated pits which involves beta-arrestins. The activation of the ERK pathway occurs either in a G-protein-dependent or a beta-arrestin-dependent manner and is regulated by agonist-specific receptor phosphorylation. Acts as a class A G-protein coupled receptor (GPCR) which dissociates from beta-arrestin at or near the plasma membrane and undergoes rapid recycling. Receptor down-regulation pathways are varying with the agonist and occur dependent or independent of G-protein coupling. Endogenous ligands induce rapid desensitization, endocytosis and recycling whereas morphine induces only low desensitization and endocytosis. Heterooligomerization with other GPCRs can modulate agonist binding, signaling and trafficking properties. Involved in neurogenesis. Isoform 12 couples to GNAS and is proposed to be involved in excitatory effects. Isoform 16 and isoform 17 do not bind agonists but may act through oligomerization with binding-competent OPRM1 isoforms and reduce their ligand binding activity.",16530171|16580639|16580848|16682505|11752352,Morphine,10.1016/j.brainres.2006.01.095|10.1016/j.bbrc.2006.03.084|10.1016/j.joca.2006.01.013|10.1124/mol.106.022376|10.1093/nar/30.1.412
P35372,4988,OPRM1,5284371,small molecule,Codeine,approved; illicit,agonist,DB00318,target,BE0000770,Mu-type opioid receptor,P35372,Mu-type opioid receptor,Voltage-gated calcium channel activity,"Receptor for endogenous opioids such as beta-endorphin and endomorphin. Receptor for natural and synthetic opioids including morphine, heroin, DAMGO, fentanyl, etorphine, buprenorphin and methadone. Agonist binding to the receptor induces coupling to an inactive GDP-bound heterotrimeric G-protein complex and subsequent exchange of GDP for GTP in the G-protein alpha subunit leading to dissociation of the G-protein complex with the free GTP-bound G-protein alpha and the G-protein beta-gamma dimer activating downstream cellular effectors. The agonist- and cell type-specific activity is predominantly coupled to pertussis toxin-sensitive G(i) and G(o) G alpha proteins, GNAI1, GNAI2, GNAI3 and GNAO1 isoforms Alpha-1 and Alpha-2, and to a lesser extend to pertussis toxin-insensitive G alpha proteins GNAZ and GNA15. They mediate an array of downstream cellular responses, including inhibition of adenylate cyclase activity and both N-type and L-type calcium channels, activation of inward rectifying potassium channels, mitogen-activated protein kinase (MAPK), phospholipase C (PLC), phosphoinositide/protein kinase (PKC), phosphoinositide 3-kinase (PI3K) and regulation of NF-kappa-B. Also couples to adenylate cyclase stimulatory G alpha proteins. The selective temporal coupling to G-proteins and subsequent signaling can be regulated by RGSZ proteins, such as RGS9, RGS17 and RGS4. Phosphorylation by members of the GPRK subfamily of Ser/Thr protein kinases and association with beta-arrestins is involved in short-term receptor desensitization. Beta-arrestins associate with the GPRK-phosphorylated receptor and uncouple it from the G-protein thus terminating signal transduction. The phosphorylated receptor is internalized through endocytosis via clathrin-coated pits which involves beta-arrestins. The activation of the ERK pathway occurs either in a G-protein-dependent or a beta-arrestin-dependent manner and is regulated by agonist-specific receptor phosphorylation. Acts as a class A G-protein coupled receptor (GPCR) which dissociates from beta-arrestin at or near the plasma membrane and undergoes rapid recycling. Receptor down-regulation pathways are varying with the agonist and occur dependent or independent of G-protein coupling. Endogenous ligands induce rapid desensitization, endocytosis and recycling whereas morphine induces only low desensitization and endocytosis. Heterooligomerization with other GPCRs can modulate agonist binding, signaling and trafficking properties. Involved in neurogenesis. Isoform 12 couples to GNAS and is proposed to be involved in excitatory effects. Isoform 16 and isoform 17 do not bind agonists but may act through oligomerization with binding-competent OPRM1 isoforms and reduce their ligand binding activity.",17620111,Codeine,10.1186/1745-9974-3-8
P35372,4988,OPRM1,2160,small molecule,Amitriptyline,approved,binder,DB00321,target,BE0000770,Mu-type opioid receptor,P35372,Mu-type opioid receptor,Voltage-gated calcium channel activity,"Receptor for endogenous opioids such as beta-endorphin and endomorphin. Receptor for natural and synthetic opioids including morphine, heroin, DAMGO, fentanyl, etorphine, buprenorphin and methadone. Agonist binding to the receptor induces coupling to an inactive GDP-bound heterotrimeric G-protein complex and subsequent exchange of GDP for GTP in the G-protein alpha subunit leading to dissociation of the G-protein complex with the free GTP-bound G-protein alpha and the G-protein beta-gamma dimer activating downstream cellular effectors. The agonist- and cell type-specific activity is predominantly coupled to pertussis toxin-sensitive G(i) and G(o) G alpha proteins, GNAI1, GNAI2, GNAI3 and GNAO1 isoforms Alpha-1 and Alpha-2, and to a lesser extend to pertussis toxin-insensitive G alpha proteins GNAZ and GNA15. They mediate an array of downstream cellular responses, including inhibition of adenylate cyclase activity and both N-type and L-type calcium channels, activation of inward rectifying potassium channels, mitogen-activated protein kinase (MAPK), phospholipase C (PLC), phosphoinositide/protein kinase (PKC), phosphoinositide 3-kinase (PI3K) and regulation of NF-kappa-B. Also couples to adenylate cyclase stimulatory G alpha proteins. The selective temporal coupling to G-proteins and subsequent signaling can be regulated by RGSZ proteins, such as RGS9, RGS17 and RGS4. Phosphorylation by members of the GPRK subfamily of Ser/Thr protein kinases and association with beta-arrestins is involved in short-term receptor desensitization. Beta-arrestins associate with the GPRK-phosphorylated receptor and uncouple it from the G-protein thus terminating signal transduction. The phosphorylated receptor is internalized through endocytosis via clathrin-coated pits which involves beta-arrestins. The activation of the ERK pathway occurs either in a G-protein-dependent or a beta-arrestin-dependent manner and is regulated by agonist-specific receptor phosphorylation. Acts as a class A G-protein coupled receptor (GPCR) which dissociates from beta-arrestin at or near the plasma membrane and undergoes rapid recycling. Receptor down-regulation pathways are varying with the agonist and occur dependent or independent of G-protein coupling. Endogenous ligands induce rapid desensitization, endocytosis and recycling whereas morphine induces only low desensitization and endocytosis. Heterooligomerization with other GPCRs can modulate agonist binding, signaling and trafficking properties. Involved in neurogenesis. Isoform 12 couples to GNAS and is proposed to be involved in excitatory effects. Isoform 16 and isoform 17 do not bind agonists but may act through oligomerization with binding-competent OPRM1 isoforms and reduce their ligand binding activity.",3037421,Amitriptyline,10.1016/0028-3908(87)90144-4
P35372,4988,OPRM1,5284570,small molecule,Hydromorphone,approved; illicit,agonist,DB00327,target,BE0000770,Mu-type opioid receptor,P35372,Mu-type opioid receptor,Voltage-gated calcium channel activity,"Receptor for endogenous opioids such as beta-endorphin and endomorphin. Receptor for natural and synthetic opioids including morphine, heroin, DAMGO, fentanyl, etorphine, buprenorphin and methadone. Agonist binding to the receptor induces coupling to an inactive GDP-bound heterotrimeric G-protein complex and subsequent exchange of GDP for GTP in the G-protein alpha subunit leading to dissociation of the G-protein complex with the free GTP-bound G-protein alpha and the G-protein beta-gamma dimer activating downstream cellular effectors. The agonist- and cell type-specific activity is predominantly coupled to pertussis toxin-sensitive G(i) and G(o) G alpha proteins, GNAI1, GNAI2, GNAI3 and GNAO1 isoforms Alpha-1 and Alpha-2, and to a lesser extend to pertussis toxin-insensitive G alpha proteins GNAZ and GNA15. They mediate an array of downstream cellular responses, including inhibition of adenylate cyclase activity and both N-type and L-type calcium channels, activation of inward rectifying potassium channels, mitogen-activated protein kinase (MAPK), phospholipase C (PLC), phosphoinositide/protein kinase (PKC), phosphoinositide 3-kinase (PI3K) and regulation of NF-kappa-B. Also couples to adenylate cyclase stimulatory G alpha proteins. The selective temporal coupling to G-proteins and subsequent signaling can be regulated by RGSZ proteins, such as RGS9, RGS17 and RGS4. Phosphorylation by members of the GPRK subfamily of Ser/Thr protein kinases and association with beta-arrestins is involved in short-term receptor desensitization. Beta-arrestins associate with the GPRK-phosphorylated receptor and uncouple it from the G-protein thus terminating signal transduction. The phosphorylated receptor is internalized through endocytosis via clathrin-coated pits which involves beta-arrestins. The activation of the ERK pathway occurs either in a G-protein-dependent or a beta-arrestin-dependent manner and is regulated by agonist-specific receptor phosphorylation. Acts as a class A G-protein coupled receptor (GPCR) which dissociates from beta-arrestin at or near the plasma membrane and undergoes rapid recycling. Receptor down-regulation pathways are varying with the agonist and occur dependent or independent of G-protein coupling. Endogenous ligands induce rapid desensitization, endocytosis and recycling whereas morphine induces only low desensitization and endocytosis. Heterooligomerization with other GPCRs can modulate agonist binding, signaling and trafficking properties. Involved in neurogenesis. Isoform 12 couples to GNAS and is proposed to be involved in excitatory effects. Isoform 16 and isoform 17 do not bind agonists but may act through oligomerization with binding-competent OPRM1 isoforms and reduce their ligand binding activity.",11869661|12479250|11305075|18789923,Hydromorphone,10.1002/14651858.cd003447|10.1097/00002508-200207001-00002|10.1007/s005200000183|10.1016/j.ejphar.2008.08.025
P35372,4988,OPRM1,4095,small molecule,Methadone,approved,agonist,DB00333,target,BE0000770,Mu-type opioid receptor,P35372,Mu-type opioid receptor,Voltage-gated calcium channel activity,"Receptor for endogenous opioids such as beta-endorphin and endomorphin. Receptor for natural and synthetic opioids including morphine, heroin, DAMGO, fentanyl, etorphine, buprenorphin and methadone. Agonist binding to the receptor induces coupling to an inactive GDP-bound heterotrimeric G-protein complex and subsequent exchange of GDP for GTP in the G-protein alpha subunit leading to dissociation of the G-protein complex with the free GTP-bound G-protein alpha and the G-protein beta-gamma dimer activating downstream cellular effectors. The agonist- and cell type-specific activity is predominantly coupled to pertussis toxin-sensitive G(i) and G(o) G alpha proteins, GNAI1, GNAI2, GNAI3 and GNAO1 isoforms Alpha-1 and Alpha-2, and to a lesser extend to pertussis toxin-insensitive G alpha proteins GNAZ and GNA15. They mediate an array of downstream cellular responses, including inhibition of adenylate cyclase activity and both N-type and L-type calcium channels, activation of inward rectifying potassium channels, mitogen-activated protein kinase (MAPK), phospholipase C (PLC), phosphoinositide/protein kinase (PKC), phosphoinositide 3-kinase (PI3K) and regulation of NF-kappa-B. Also couples to adenylate cyclase stimulatory G alpha proteins. The selective temporal coupling to G-proteins and subsequent signaling can be regulated by RGSZ proteins, such as RGS9, RGS17 and RGS4. Phosphorylation by members of the GPRK subfamily of Ser/Thr protein kinases and association with beta-arrestins is involved in short-term receptor desensitization. Beta-arrestins associate with the GPRK-phosphorylated receptor and uncouple it from the G-protein thus terminating signal transduction. The phosphorylated receptor is internalized through endocytosis via clathrin-coated pits which involves beta-arrestins. The activation of the ERK pathway occurs either in a G-protein-dependent or a beta-arrestin-dependent manner and is regulated by agonist-specific receptor phosphorylation. Acts as a class A G-protein coupled receptor (GPCR) which dissociates from beta-arrestin at or near the plasma membrane and undergoes rapid recycling. Receptor down-regulation pathways are varying with the agonist and occur dependent or independent of G-protein coupling. Endogenous ligands induce rapid desensitization, endocytosis and recycling whereas morphine induces only low desensitization and endocytosis. Heterooligomerization with other GPCRs can modulate agonist binding, signaling and trafficking properties. Involved in neurogenesis. Isoform 12 couples to GNAS and is proposed to be involved in excitatory effects. Isoform 16 and isoform 17 do not bind agonists but may act through oligomerization with binding-competent OPRM1 isoforms and reduce their ligand binding activity.",17139284|17016423|11933204|17850768|14991152|12405865|19717013,Methadone,10.1038/nrd2199|10.1038/nrd2132|10.1002/humu.9026|10.1016/j.biopsych.2007.05.001|10.1007/s00109-003-0514-z|10.2165/00003088-200241140-00003|10.1016/j.phrs.2009.04.002
P35372,4988,OPRM1,4058,small molecule,Meperidine,approved,agonist,DB00454,target,BE0000770,Mu-type opioid receptor,P35372,Mu-type opioid receptor,Voltage-gated calcium channel activity,"Receptor for endogenous opioids such as beta-endorphin and endomorphin. Receptor for natural and synthetic opioids including morphine, heroin, DAMGO, fentanyl, etorphine, buprenorphin and methadone. Agonist binding to the receptor induces coupling to an inactive GDP-bound heterotrimeric G-protein complex and subsequent exchange of GDP for GTP in the G-protein alpha subunit leading to dissociation of the G-protein complex with the free GTP-bound G-protein alpha and the G-protein beta-gamma dimer activating downstream cellular effectors. The agonist- and cell type-specific activity is predominantly coupled to pertussis toxin-sensitive G(i) and G(o) G alpha proteins, GNAI1, GNAI2, GNAI3 and GNAO1 isoforms Alpha-1 and Alpha-2, and to a lesser extend to pertussis toxin-insensitive G alpha proteins GNAZ and GNA15. They mediate an array of downstream cellular responses, including inhibition of adenylate cyclase activity and both N-type and L-type calcium channels, activation of inward rectifying potassium channels, mitogen-activated protein kinase (MAPK), phospholipase C (PLC), phosphoinositide/protein kinase (PKC), phosphoinositide 3-kinase (PI3K) and regulation of NF-kappa-B. Also couples to adenylate cyclase stimulatory G alpha proteins. The selective temporal coupling to G-proteins and subsequent signaling can be regulated by RGSZ proteins, such as RGS9, RGS17 and RGS4. Phosphorylation by members of the GPRK subfamily of Ser/Thr protein kinases and association with beta-arrestins is involved in short-term receptor desensitization. Beta-arrestins associate with the GPRK-phosphorylated receptor and uncouple it from the G-protein thus terminating signal transduction. The phosphorylated receptor is internalized through endocytosis via clathrin-coated pits which involves beta-arrestins. The activation of the ERK pathway occurs either in a G-protein-dependent or a beta-arrestin-dependent manner and is regulated by agonist-specific receptor phosphorylation. Acts as a class A G-protein coupled receptor (GPCR) which dissociates from beta-arrestin at or near the plasma membrane and undergoes rapid recycling. Receptor down-regulation pathways are varying with the agonist and occur dependent or independent of G-protein coupling. Endogenous ligands induce rapid desensitization, endocytosis and recycling whereas morphine induces only low desensitization and endocytosis. Heterooligomerization with other GPCRs can modulate agonist binding, signaling and trafficking properties. Involved in neurogenesis. Isoform 12 couples to GNAS and is proposed to be involved in excitatory effects. Isoform 16 and isoform 17 do not bind agonists but may act through oligomerization with binding-competent OPRM1 isoforms and reduce their ligand binding activity.",11585443,Meperidine,10.1021/jm010877o
P35372,4988,OPRM1,5284603,small molecule,Oxycodone,approved; illicit; investigational,agonist,DB00497,target,BE0000770,Mu-type opioid receptor,P35372,Mu-type opioid receptor,Voltage-gated calcium channel activity,"Receptor for endogenous opioids such as beta-endorphin and endomorphin. Receptor for natural and synthetic opioids including morphine, heroin, DAMGO, fentanyl, etorphine, buprenorphin and methadone. Agonist binding to the receptor induces coupling to an inactive GDP-bound heterotrimeric G-protein complex and subsequent exchange of GDP for GTP in the G-protein alpha subunit leading to dissociation of the G-protein complex with the free GTP-bound G-protein alpha and the G-protein beta-gamma dimer activating downstream cellular effectors. The agonist- and cell type-specific activity is predominantly coupled to pertussis toxin-sensitive G(i) and G(o) G alpha proteins, GNAI1, GNAI2, GNAI3 and GNAO1 isoforms Alpha-1 and Alpha-2, and to a lesser extend to pertussis toxin-insensitive G alpha proteins GNAZ and GNA15. They mediate an array of downstream cellular responses, including inhibition of adenylate cyclase activity and both N-type and L-type calcium channels, activation of inward rectifying potassium channels, mitogen-activated protein kinase (MAPK), phospholipase C (PLC), phosphoinositide/protein kinase (PKC), phosphoinositide 3-kinase (PI3K) and regulation of NF-kappa-B. Also couples to adenylate cyclase stimulatory G alpha proteins. The selective temporal coupling to G-proteins and subsequent signaling can be regulated by RGSZ proteins, such as RGS9, RGS17 and RGS4. Phosphorylation by members of the GPRK subfamily of Ser/Thr protein kinases and association with beta-arrestins is involved in short-term receptor desensitization. Beta-arrestins associate with the GPRK-phosphorylated receptor and uncouple it from the G-protein thus terminating signal transduction. The phosphorylated receptor is internalized through endocytosis via clathrin-coated pits which involves beta-arrestins. The activation of the ERK pathway occurs either in a G-protein-dependent or a beta-arrestin-dependent manner and is regulated by agonist-specific receptor phosphorylation. Acts as a class A G-protein coupled receptor (GPCR) which dissociates from beta-arrestin at or near the plasma membrane and undergoes rapid recycling. Receptor down-regulation pathways are varying with the agonist and occur dependent or independent of G-protein coupling. Endogenous ligands induce rapid desensitization, endocytosis and recycling whereas morphine induces only low desensitization and endocytosis. Heterooligomerization with other GPCRs can modulate agonist binding, signaling and trafficking properties. Involved in neurogenesis. Isoform 12 couples to GNAS and is proposed to be involved in excitatory effects. Isoform 16 and isoform 17 do not bind agonists but may act through oligomerization with binding-competent OPRM1 isoforms and reduce their ligand binding activity.",17525040|18039433|19474215,Oxycodone,10.1007/s12094-007-0057-9|10.1185/030079908x253708|10.1093/bja/aep129
P35372,4988,OPRM1,5359371,small molecule,Levallorphan,approved,partial agonist,DB00504,target,BE0000770,Mu-type opioid receptor,P35372,Mu-type opioid receptor,Voltage-gated calcium channel activity,"Receptor for endogenous opioids such as beta-endorphin and endomorphin. Receptor for natural and synthetic opioids including morphine, heroin, DAMGO, fentanyl, etorphine, buprenorphin and methadone. Agonist binding to the receptor induces coupling to an inactive GDP-bound heterotrimeric G-protein complex and subsequent exchange of GDP for GTP in the G-protein alpha subunit leading to dissociation of the G-protein complex with the free GTP-bound G-protein alpha and the G-protein beta-gamma dimer activating downstream cellular effectors. The agonist- and cell type-specific activity is predominantly coupled to pertussis toxin-sensitive G(i) and G(o) G alpha proteins, GNAI1, GNAI2, GNAI3 and GNAO1 isoforms Alpha-1 and Alpha-2, and to a lesser extend to pertussis toxin-insensitive G alpha proteins GNAZ and GNA15. They mediate an array of downstream cellular responses, including inhibition of adenylate cyclase activity and both N-type and L-type calcium channels, activation of inward rectifying potassium channels, mitogen-activated protein kinase (MAPK), phospholipase C (PLC), phosphoinositide/protein kinase (PKC), phosphoinositide 3-kinase (PI3K) and regulation of NF-kappa-B. Also couples to adenylate cyclase stimulatory G alpha proteins. The selective temporal coupling to G-proteins and subsequent signaling can be regulated by RGSZ proteins, such as RGS9, RGS17 and RGS4. Phosphorylation by members of the GPRK subfamily of Ser/Thr protein kinases and association with beta-arrestins is involved in short-term receptor desensitization. Beta-arrestins associate with the GPRK-phosphorylated receptor and uncouple it from the G-protein thus terminating signal transduction. The phosphorylated receptor is internalized through endocytosis via clathrin-coated pits which involves beta-arrestins. The activation of the ERK pathway occurs either in a G-protein-dependent or a beta-arrestin-dependent manner and is regulated by agonist-specific receptor phosphorylation. Acts as a class A G-protein coupled receptor (GPCR) which dissociates from beta-arrestin at or near the plasma membrane and undergoes rapid recycling. Receptor down-regulation pathways are varying with the agonist and occur dependent or independent of G-protein coupling. Endogenous ligands induce rapid desensitization, endocytosis and recycling whereas morphine induces only low desensitization and endocytosis. Heterooligomerization with other GPCRs can modulate agonist binding, signaling and trafficking properties. Involved in neurogenesis. Isoform 12 couples to GNAS and is proposed to be involved in excitatory effects. Isoform 16 and isoform 17 do not bind agonists but may act through oligomerization with binding-competent OPRM1 isoforms and reduce their ligand binding activity.",8968334|7723747|9016350|8819494|9862398,Levallorphan,10.1124/mol.51.1.87||10.1007/s002130050734
P35372,4988,OPRM1,5360696,small molecule,Dextromethorphan,approved,agonist,DB00514,target,BE0000770,Mu-type opioid receptor,P35372,Mu-type opioid receptor,Voltage-gated calcium channel activity,"Receptor for endogenous opioids such as beta-endorphin and endomorphin. Receptor for natural and synthetic opioids including morphine, heroin, DAMGO, fentanyl, etorphine, buprenorphin and methadone. Agonist binding to the receptor induces coupling to an inactive GDP-bound heterotrimeric G-protein complex and subsequent exchange of GDP for GTP in the G-protein alpha subunit leading to dissociation of the G-protein complex with the free GTP-bound G-protein alpha and the G-protein beta-gamma dimer activating downstream cellular effectors. The agonist- and cell type-specific activity is predominantly coupled to pertussis toxin-sensitive G(i) and G(o) G alpha proteins, GNAI1, GNAI2, GNAI3 and GNAO1 isoforms Alpha-1 and Alpha-2, and to a lesser extend to pertussis toxin-insensitive G alpha proteins GNAZ and GNA15. They mediate an array of downstream cellular responses, including inhibition of adenylate cyclase activity and both N-type and L-type calcium channels, activation of inward rectifying potassium channels, mitogen-activated protein kinase (MAPK), phospholipase C (PLC), phosphoinositide/protein kinase (PKC), phosphoinositide 3-kinase (PI3K) and regulation of NF-kappa-B. Also couples to adenylate cyclase stimulatory G alpha proteins. The selective temporal coupling to G-proteins and subsequent signaling can be regulated by RGSZ proteins, such as RGS9, RGS17 and RGS4. Phosphorylation by members of the GPRK subfamily of Ser/Thr protein kinases and association with beta-arrestins is involved in short-term receptor desensitization. Beta-arrestins associate with the GPRK-phosphorylated receptor and uncouple it from the G-protein thus terminating signal transduction. The phosphorylated receptor is internalized through endocytosis via clathrin-coated pits which involves beta-arrestins. The activation of the ERK pathway occurs either in a G-protein-dependent or a beta-arrestin-dependent manner and is regulated by agonist-specific receptor phosphorylation. Acts as a class A G-protein coupled receptor (GPCR) which dissociates from beta-arrestin at or near the plasma membrane and undergoes rapid recycling. Receptor down-regulation pathways are varying with the agonist and occur dependent or independent of G-protein coupling. Endogenous ligands induce rapid desensitization, endocytosis and recycling whereas morphine induces only low desensitization and endocytosis. Heterooligomerization with other GPCRs can modulate agonist binding, signaling and trafficking properties. Involved in neurogenesis. Isoform 12 couples to GNAS and is proposed to be involved in excitatory effects. Isoform 16 and isoform 17 do not bind agonists but may act through oligomerization with binding-competent OPRM1 isoforms and reduce their ligand binding activity.",7562497,Dextromethorphan,NULL
