mecid,cid,chemblid,drugname,moa,action,targetchemblid,targetname,protacxns,geneids,pmids,cmpdname,dois
   1091,5359390,CHEMBL1200794,OXYMORPHONE HYDROCHLORIDE,Opioid receptors; mu/kappa/delta agonist,AGONIST,CHEMBL2095181,Opioid receptors; mu/kappa/delta,P35372|P41143|P41145,4988|4985|4986,17525040,Oxymorphone hydrochloride,10.1007/s12094-007-0057-9
1092,5360515,CHEMBL19019,NALTREXONE,Opioid receptors; mu/kappa/delta antagonist,ANTAGONIST,CHEMBL2095181,Opioid receptors; mu/kappa/delta,P35372|P41143|P41145,4988|4985|4986,NULL,Naltrexone,NULL
1093,9953630,CHEMBL1201099,CODEINE PHOSPHATE,Opioid receptors; mu/kappa/delta agonist,AGONIST,CHEMBL2095181,Opioid receptors; mu/kappa/delta,P35372|P41143|P41145,4988|4985|4986,15611852|17620111,Codeine phosphate hydrate,10.1007/s00520-004-0690-6|10.1186/1745-9974-3-8
1094,21155870,CHEMBL4297091,CODEINE SULFATE,Opioid receptors; mu/kappa/delta agonist,AGONIST,CHEMBL2095181,Opioid receptors; mu/kappa/delta,P35372|P41143|P41145,4988|4985|4986,15611852|17620111,Codeine sulfate trihydrate,10.1007/s00520-004-0690-6|10.1186/1745-9974-3-8
1095,5485201,CHEMBL1201149,NALTREXONE HYDROCHLORIDE,Opioid receptors; mu/kappa/delta antagonist,ANTAGONIST,CHEMBL2095181,Opioid receptors; mu/kappa/delta,P35372|P41143|P41145,4988|4985|4986,NULL,Naltrexone hydrochloride,NULL
1096,5360733,CHEMBL1201132,NALBUPHINE HYDROCHLORIDE,Opioid receptors; mu/kappa/delta agonist,AGONIST,CHEMBL2095181,Opioid receptors; mu/kappa/delta,P35372|P41143|P41145,4988|4985|4986,NULL,Nalbuphine hydrochloride,NULL
1097,5388881,CHEMBL1201152,NALMEFENE HYDROCHLORIDE,Opioid receptors; mu/kappa/delta antagonist,ANTAGONIST,CHEMBL2095181,Opioid receptors; mu/kappa/delta,P35372|P41143|P41145,4988|4985|4986,NULL,Nalmefene hydrochloride,NULL
1098,5464092,CHEMBL1718,NALOXONE HYDROCHLORIDE,Opioid receptors; mu/kappa/delta antagonist,ANTAGONIST,CHEMBL2095181,Opioid receptors; mu/kappa/delta,P35372|P41143|P41145,4988|4985|4986,19435929,Naloxone hydrochloride,10.1124/jpet.109.152678
1099,134156377,CHEMBL3989677,HYDROCODONE BITARTRATE,Opioid receptors; mu/kappa/delta agonist,AGONIST,CHEMBL2095181,Opioid receptors; mu/kappa/delta,P35372|P41143|P41145,4988|4985|4986,2849950,Hydrocodone bitartrate cii,NULL
5013,10457387,CHEMBL2103878,ODELEPRAN,Opioid receptors; mu/kappa/delta antagonist,ANTAGONIST,CHEMBL2095181,Opioid receptors; mu/kappa/delta,P35372|P41143|P41145,4988|4985|4986,24010675,Ondelopran,10.1111/acer.12257
5388,11848225,CHEMBL2364605,CEBRANOPADOL,Opioid receptors; mu/kappa/delta agonist,AGONIST,CHEMBL2095181,Opioid receptors; mu/kappa/delta,P35372|P41143|P41145,4988|4985|4986,25147603|24713140,Cebranopadol,10.1021/ml500117c|10.1124/jpet.114.213694
6694,127021145,CHEMBL3833389,DEXTROMORAMIDE,Opioid receptors; mu/kappa/delta agonist,AGONIST,CHEMBL2095181,Opioid receptors; mu/kappa/delta,P35372|P41143|P41145,4988|4985|4986,10574310|15268688,"(4S)-4-morpholin-4-yl-2,2-diphenyl-1-pyrrolidin-1-ylpentan-1-one",10.1016/s0306-4603(98)00081-1|10.1111/j.1467-2987.2004.00148.x
7630,76322220,CHEMBL3137310,BENZHYDROCODONE HYDROCHLORIDE,Opioid receptors; mu/kappa/delta agonist,AGONIST,CHEMBL2095181,Opioid receptors; mu/kappa/delta,P35372|P41143|P41145,4988|4985|4986,NULL,"[(4R,4aS,7aR,12bS)-9-methoxy-3-methyl-2,4,4a,5,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-yl] benzoate;hydrochloride",NULL
