PUBCHEM_CID,Standard_Type_0,Standard_Value_0,Standard_Units_0,Standard_Type_1,Standard_Value_1,Standard_Units_1,Standard_Type_2,Standard_Value_2,Standard_Units_2,Standard_Type_3,Standard_Value_3,Standard_Units_3,Standard_Type_4,Standard_Value_4,Standard_Units_4
5359966,EC50,0.8,nM,Emax,40,%,Imax,50,%,Ki,0.062,nM,IC50,1.7,nM
9897164,EC50,1.3,nM,Emax,50,%,Imax,60,%,Ki,0.09,nM,IC50,16,nM
11262815,EC50,11,nM,Emax,57,%,Imax,54,%,Ki,0.97,nM,IC50,360,nM
11308721,EC50,10,nM,Emax,60,%,Imax,100,%,Ki,0.89,nM,IC50,90,nM
11364225,EC50,8,nM,Emax,60,%,Imax,50,%,Ki,0.23,nM,IC50,130,nM
10462426,EC50,2.9,nM,Emax,50,%,Imax,100,%,Ki,0.2,nM,IC50,610,nM
10078468,EC50,7.4,nM,Emax,50,%,Imax,50,%,Ki,0.16,nM,IC50,170,nM
11204993,,,,Emax,30,%,Imax,100,%,Ki,0.93,nM,IC50,90,nM
11239327,,,,Emax,10,%,Imax,60,%,Ki,0.14,nM,IC50,1.8,nM
11434336,,,,Emax,14,%,Imax,60,%,Ki,1.8,nM,IC50,100,nM
9804450,,,,,,,,,,Ki,0.23,nM,,,
60768,,,,,,,,,,Ki,22,nM,,,
11181676,,,,,,,,,,Ki,3.3,nM,,,
11388486,,,,,,,,,,Ki,0.28,nM,,,
11308699,,,,,,,,,,Ki,3.3,nM,,,
11158498,,,,,,,,,,Ki,4.7,nM,,,
11307039,,,,,,,,,,Ki,48,nM,,,
44365804,,,,,,,,,,Ki,66,nM,,,
11411315,,,,,,,,,,Ki,29,nM,,,
11365113,,,,,,,,,,Ki,52,nM,,,
5359272,,,,,,,,,,Ki,0.21,nM,,,
